,lyric,youtube,melon,bugs,genie,total
러,0,0,0,1,1,2.0
외국인,0,2,0,0,0,2.0
휘날리다,18,2,0,2,6,28.0
좋아하다,0,0,0,1,2,3.0
피다,0,0,0,0,10,10.0
가보다,0,0,0,0,1,1.0
이온,0,0,0,0,1,1.0
라디오,0,0,0,0,2,2.0
기세,0,0,0,0,1,1.0
멤버,0,0,0,0,1,1.0
난독증,0,0,0,0,1,1.0
수병,0,0,0,0,1,1.0
딱좋다,0,0,0,0,1,1.0
테크,0,0,0,0,1,1.0
너,0,0,0,3,1,4.0
비틀즈,0,0,0,0,1,1.0
안유,0,0,0,0,1,1.0
여기저기,0,0,0,0,1,1.0
필요없다,0,0,0,0,1,1.0
브래들리,0,0,0,0,1,1.0
동의,0,0,0,0,1,1.0
짱짱맨,0,0,0,0,1,1.0
되어다,0,2,0,1,11,14.0
읽다,0,0,0,0,1,1.0
뒤,0,3,0,0,2,5.0
빵타졋,0,0,0,0,1,1.0
망하다,0,0,0,0,2,2.0
아련하다,0,2,0,0,3,5.0
찌,0,0,0,0,1,1.0
바보,0,0,0,0,3,3.0
밖,0,0,0,0,1,1.0
사람,0,6,0,1,11,18.0
앞,0,0,0,0,1,1.0
절정,0,0,0,0,4,4.0
시리즈,0,1,0,0,0,1.0
불구,0,0,0,1,0,1.0
멜로디,0,0,0,0,2,2.0
인정,0,0,0,0,1,1.0
빅뱅,0,0,0,0,1,1.0
시즌,0,1,0,5,9,15.0
분홍,0,0,0,0,1,1.0
차,0,0,0,0,2,2.0
슴,0,0,0,0,1,1.0
제대로,0,0,0,0,1,1.0
듀스,0,0,0,0,2,2.0
슬슬,0,1,0,11,24,36.0
머릿속,0,0,0,0,1,1.0
삐빅,0,0,0,0,1,1.0
작곡,0,1,0,0,2,3.0
응,0,0,0,1,2,3.0
여전하다,0,0,0,0,4,4.0
잎,21,1,0,0,2,24.0
순위도,0,0,0,0,2,2.0
난독,0,0,0,0,1,1.0
꽃송이,0,0,0,0,2,2.0
깨어나다,0,0,0,1,3,4.0
임,0,1,0,1,8,10.0
일찍,0,0,0,0,1,1.0
지키다,0,1,0,0,0,1.0
공부,0,1,0,0,3,4.0
갑자기,0,1,0,0,1,2.0
정기,0,0,0,0,2,2.0
가게,0,0,0,1,0,1.0
스럽다,0,1,0,0,0,1.0
잡고,3,0,0,0,1,4.0
부르다,0,0,0,2,9,11.0
사람과,0,0,0,1,1,2.0
눈물나다,0,1,0,0,1,2.0
민욬,0,0,0,0,1,1.0
디,0,1,0,1,1,3.0
도달,0,0,0,0,1,1.0
계속,0,0,0,0,6,6.0
분위기,0,0,0,1,2,3.0
리뷰,0,0,0,0,5,5.0
명수,0,0,0,0,1,1.0
신천지,0,1,0,0,0,1.0
슬픔,0,0,0,0,1,1.0
자동,0,0,0,0,1,1.0
조용하다,0,0,0,0,1,1.0
전통,0,0,0,0,1,1.0
뭘,0,0,0,0,1,1.0
쏭,0,0,0,0,1,1.0
치,0,0,0,1,0,1.0
햇,0,0,0,0,2,2.0
들어서다,0,1,0,0,1,2.0
이곡,0,0,0,0,3,3.0
해변,0,0,0,0,1,1.0
뚫다,0,0,0,0,2,2.0
부다,0,0,0,0,3,3.0
실제,0,0,0,0,1,1.0
상황,0,0,0,0,1,1.0
내려가다,0,0,0,0,2,2.0
군,0,0,0,0,3,3.0
이등병,0,0,0,0,2,2.0
계시다,0,0,0,0,3,3.0
십리,0,0,0,0,1,1.0
검색,0,1,0,0,2,3.0
은지,0,0,0,0,1,1.0
필수,0,0,0,0,1,1.0
