,lyric,youtube,melon,bugs,genie,total
천재,0,0,1,1,0,2.0
모태,0,0,0,0,1,1.0
치킨,0,0,0,0,1,1.0
여행가,0,1,0,0,0,1.0
전자기타,0,0,1,0,0,1.0
부탁드리다,0,0,0,0,1,1.0
가가,0,1,0,0,0,1.0
거림,0,0,1,0,0,1.0
노랭,0,0,0,0,1,1.0
결혼,0,1,0,0,0,1.0
앨범,0,1,1,0,0,2.0
아카시아,0,1,0,0,0,1.0
자꾸,0,0,0,0,1,1.0
만큼,0,1,0,0,1,2.0
자고,0,1,0,0,0,1.0
설레임,0,1,0,0,1,2.0
갑,0,1,0,0,0,1.0
이분,0,1,0,0,0,1.0
레전드,0,0,1,0,0,1.0
앗,0,3,0,0,0,3.0
옴,0,2,0,0,1,3.0
성대모사,0,0,0,0,1,1.0
캠,0,1,0,0,0,1.0
꼬,0,1,0,0,0,1.0
듣기,0,1,0,0,1,2.0
골드,0,1,0,0,0,1.0
나혼자산다,0,0,0,0,1,1.0
슬프다,0,1,2,0,0,3.0
꼬셔,12,22,0,0,3,37.0
걸리다,0,1,0,0,0,1.0
수영구,0,0,3,0,0,3.0
못,0,1,1,0,0,2.0
돋다,0,1,0,0,0,1.0
냄새,0,3,0,0,0,3.0
나르다,0,1,0,0,0,1.0
죠으댜,0,0,0,1,0,1.0
노래방,0,1,0,0,0,1.0
어,0,1,0,0,0,1.0
따땃해,0,1,0,0,0,1.0
먼저,0,0,0,0,1,1.0
길거리,0,1,0,0,0,1.0
쌤,0,1,0,0,0,1.0
댕,0,0,0,0,1,1.0
진심,0,1,0,0,0,1.0
밴드,0,0,1,0,0,1.0
벌써,0,3,1,0,0,4.0
콧소리,0,1,0,0,0,1.0
깊다,0,1,0,0,0,1.0
세상,0,4,0,0,0,4.0
제일,0,0,2,0,0,2.0
불다,6,13,2,0,2,23.0
그게,27,54,0,0,1,82.0
남,0,0,1,0,0,1.0
눈,0,1,1,0,0,2.0
린다,0,0,1,0,0,1.0
비슷하다,0,1,0,0,0,1.0
고등학교,0,0,1,0,0,1.0
애쓰다,0,0,1,0,0,1.0
달려가다,0,1,0,0,0,1.0
삐삐,0,0,0,0,1,1.0
펜,0,1,0,0,0,1.0
모습,0,0,2,0,0,2.0
스,0,2,0,0,0,2.0
조음,0,0,0,0,1,1.0
내내,0,1,0,0,0,1.0
시그널,0,1,0,0,0,1.0
뜨끔하다,0,1,0,0,0,1.0
레이,0,1,0,0,0,1.0
지다,0,1,0,0,1,2.0
음,0,1,0,0,0,1.0
보기,0,1,0,0,0,1.0
흐,0,2,0,0,0,2.0
생각,0,1,0,0,0,1.0
그치다,0,1,0,0,0,1.0
미치다,0,0,1,0,0,1.0
칫,0,1,0,0,0,1.0
보고오다,0,1,0,0,0,1.0
천안,0,1,0,0,0,1.0
령,0,0,0,0,1,1.0
출첵,0,1,0,0,0,1.0
형제,0,0,1,0,0,1.0
조명,0,0,1,0,0,1.0
과거,0,0,1,0,0,1.0
대다,0,0,0,0,1,1.0
시작,0,2,1,0,1,4.0
반하다,0,1,0,0,0,1.0
송,0,1,0,0,0,1.0
오빠,0,0,1,0,0,1.0
전여친,0,0,1,0,0,1.0
구나,0,2,0,0,0,2.0
맜,0,0,0,0,1,1.0
잔,3,4,0,0,1,8.0
내,0,3,8,0,1,12.0
가족,0,2,0,0,0,2.0
이면,0,0,0,0,1,1.0
여,0,0,1,0,0,1.0
신분,0,2,0,0,0,2.0
악플,0,1,0,0,0,1.0
광석,0,0,0,0,1,1.0
뻔데기,0,1,0,0,0,1.0
동시,0,2,0,0,0,2.0
자체,0,2,0,0,0,2.0
버티다,0,2,0,0,0,2.0
한국,0,1,0,0,0,1.0
드,0,0,0,0,1,1.0
연주,0,0,1,0,0,1.0
박히다,0,1,0,0,0,1.0
깃,0,1,0,0,0,1.0
살,0,0,1,0,0,1.0
찔리다,0,0,0,0,1,1.0
친구,0,4,0,0,0,4.0
버스킹,0,1,1,0,0,2.0
살다,0,0,0,0,1,1.0
마지막,0,0,1,0,0,1.0
찰떡,0,0,1,0,0,1.0
엄마,0,1,0,0,0,1.0
티비,0,2,0,0,0,2.0
호홍홍,0,1,0,0,0,1.0
블랙,0,2,0,0,0,2.0
늘다,0,1,0,0,0,1.0
연애,0,0,0,0,2,2.0
커피한잔,0,1,0,0,0,1.0
자유롭다,0,0,0,0,1,1.0
다가가다,0,0,1,0,0,1.0
미래,0,1,0,0,0,1.0
꿈,0,1,0,0,0,1.0
감추다,0,0,2,0,0,2.0
몽글몽글하다,0,0,1,0,0,1.0
희망,0,0,0,0,1,1.0
알다,0,6,4,0,0,10.0
힘드다,0,1,0,0,0,1.0
어째서,0,1,0,0,0,1.0
들렷어,0,1,0,0,0,1.0
흠,0,1,0,0,0,1.0
달콤하다,0,1,0,0,0,1.0
피고,0,2,0,0,0,2.0
아주머니,0,1,0,0,0,1.0
그때,0,1,2,0,1,4.0
완전,0,0,0,1,1,2.0
동안,0,0,1,0,0,1.0
들어맞다,0,0,1,0,0,1.0
송이,9,22,0,0,1,32.0
재미,0,1,0,0,0,1.0
동네,3,5,0,0,0,8.0
마힘,0,1,0,0,0,1.0
짐,0,1,0,0,0,1.0
온,0,8,0,0,0,8.0
시조,0,1,0,0,0,1.0
개인,0,3,1,0,1,5.0
덴,0,1,0,0,0,1.0
해주다,0,3,1,0,0,4.0
멜론,0,1,0,0,0,1.0
거나,0,0,1,0,0,1.0
머리,0,1,0,0,0,1.0
덥다,0,0,0,0,1,1.0
종강,0,1,0,0,0,1.0
넌,6,12,1,0,1,20.0
줄,0,1,1,0,0,2.0
낭만,0,0,0,0,1,1.0
핫,0,1,0,0,0,1.0
전,0,1,0,0,0,1.0
두잡짜루,0,1,0,0,0,1.0
식상하다,0,1,0,0,0,1.0
밀당,0,1,0,0,0,1.0
색깔,0,1,0,0,0,1.0
삐,0,0,0,0,3,3.0
한정,0,1,0,0,0,1.0
버전,0,0,1,0,0,1.0
뿌꿈,0,0,3,0,0,3.0
광안,0,0,2,0,0,2.0
적다,0,2,0,0,0,2.0
역시,0,5,1,0,0,6.0
콜,0,0,0,0,1,1.0
그리다,0,1,0,0,0,1.0
실수,0,1,0,0,0,1.0
혹시,0,1,0,0,0,1.0
나서다,0,1,0,0,0,1.0
찾아오다,0,1,1,0,0,2.0
개조,0,1,0,0,0,1.0
이즈,0,1,0,0,0,1.0
참다,0,0,2,0,0,2.0
여러분,0,0,1,0,0,1.0
타이밍,0,0,0,0,4,4.0
만,0,1,1,1,0,3.0
순수하다,0,1,1,0,0,2.0
거치다,0,1,0,0,0,1.0
년,0,2,0,0,0,2.0
클래식,0,1,0,0,0,1.0
킹스,0,1,0,0,0,1.0
우린,0,0,0,0,3,3.0
지나다,0,0,1,0,0,1.0
정,0,1,0,0,0,1.0
의미,0,0,0,0,1,1.0
데이트,0,2,0,0,0,2.0
정민수,0,1,0,0,0,1.0
꺾다,0,1,0,0,0,1.0
두근거리다,0,0,1,0,0,1.0
길,9,15,1,0,1,26.0
해채,0,1,0,0,0,1.0
벤츠,0,0,1,0,0,1.0
자꾸만,0,0,1,0,0,1.0
금보,0,1,0,0,0,1.0
가장,0,1,3,0,0,4.0
반,0,1,0,0,0,1.0
훅,0,0,1,0,0,1.0
난,0,5,1,0,1,7.0
셀러,0,1,0,0,0,1.0
그대,0,3,2,0,0,5.0
