,user,comments
301,🎧,이거 한곡만냈어도 평생 먹고살았겠다
302,ek7***,여전히 벚꽃이 만연하게 핀 길을 걸으면 생각난다 ㅎㅎ
303,bon***,이정도면 거의 벚꽃네버엔딩..
304,흔들어,2018 봄이 왔네요
305,표블리,다시 시작인가
306,내적댄스,33위ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
307,sbs***,3월31일 오후3시51분기준 36위 미쳤닼ㅋㅋㅋ
308,blo***,역시 벚꽃좀비
309,tan***,또다시이노래가차트에스멀스멀기어올라온다
310,타이타닉,벚꽃코인 ㅋㅋ
311,YarnBer,요즘 벚꽃핀 나무도 있더라ㅋㅋ
312,너에게간다,현재 38위 ㅋ
313,dud***,올해는 언제 1위 찍을지 기대되넹 ㅋㅋ
314,junhwanlee,또왔노? 그계절
315,뀽,슬슬 올라오네 벌써 50위 안
316,다산,이노래가 거리에서 흘러나오면 봄이 왔구나 실감함
317,ntw***,연금 보태러 왔습니다. 올해도 잘부탁 드립니다ㅋㅋ
318,gg,진짜 봄이 없어져서 이 노래를 듣고 이게 봄였다 라고 말할 수 있는 노래다....맘이 뭉클하고 설레는 느낌이야ㅠ
319,블링꽁,아마 곧.. 또 다시 올라올 벚꽃연금 ㅋㅋ
320,dkf***,좀비가깨어나고있다
321,dan***,언제들어도 좋다 ㅋㅋㅋㅋ
322,LAB917,큿.. 벚꽃 개화시기와 세트바리로 스믈스믈 민요등장..🌸
323,🐏,그 노래 또 그 노래했네ㅋㅋ
324,뿌셔뿌셔양념치킨맛,슬슬 오는구나 봄이
325,mra***,곧 차트100안에들겠지 벚꽃축제 얼마안남았다
326,jen.,봄만 되면 올라오는 그 노래...!
327,anzin,봄이좋냐 대리고 올라오는중이네 ㅋㅋㅋㅋㅋㅋㅋ
328,좋아한다니까,이제 또 스멀스멀 차트로 올라올 때가...
329,미님,벚꽃엔딩과 함께 봄이 왔네요 ♡
330,ㅇㅇㅇㅇㅇ,이번 봄에도 다시 들으러 왔다 !연금 가즈아ㅏㅏㅏ
331,eun***,노래가 좋으니까 찾는 곡 중 하나겠지.
332,pan***,자 곧 봄이다.. 또 가즈아!!!
333,하쿠엄마슈화,쿨타임 됐다
334,서화,얘도 진짜 역주행 지린다...매년 벚꽃필때마다...
335,Moon,봄이 또 왔네 ㅋㅋㅋㅋㅋㅋㅋ
336,hai***,진짜 봄되면 듣고싶은노래 1위ㅠㅠㅠㅠ
337,keu***,와 추억돋는다... 노래들으면서 추억떠오르고 아련하고 막 기분 이상한데 좋으네 발매된지 꽤 됬는데 전혀 촌스럽지 않고 걍 명곡이다ㅠㅠㅠㅠ
338,헤이즈다비치,존버충들이 빛을 발할때떡상중
339,지이니이♡,슬슬 다시 올라오는구나ㅋㅋㅋㅋㅋㅋㅋ
340,sol***,위로 가즈아!
341,리디아,3/16일 125위 실화냐 ㅋㅋㅋㅋ
342,ret***,벚꽃좀비 컴온!!!!
343,net***,질리지않고 봄만되면 생각나는 노래
344,ㅈㅎ,스믈스믈
345,베로니카,내가 스무살때 캠퍼스에서 벚꽃보고 들었던 노래인데...벚꽃풍경도 그대로고 노래도 그대로인데 나만 변했네
346,새우꽝,목록에 추가하였습니다.
347,상은,노래 뜬거 보니깐 봄이왔네 ..내년에는 남자친구랑 들어야지 하고 다짐했는데 벌써 3년째 다짐만 하네
348,azs***,벛꽃좀비가 스물스물~~봄이구나~🌸
349,일곱시반,이곡이2012년 노래라니...
350,aruman12,봄이 왔어여ㅋㅋㅋㅋ
351,kek***,누군가 그랬다 후에 벚꽃이 없어졌을때 벚꽃이 어떤 느낌인지 알려줄 띵곡이라고👍🏻🌸
352,ari***,4월이 다가와서 다시 듣는 중언제 들어도 좋다😊
353,뿌요,벚꽃 꺼져!!!!!!!!!!!!!!
354,ret***,ㅠㅠㅠㅠㅠㅠ
