,user,comments
0,wnl,이 노래 땜에 단대 다니고 싶음.. ㅋㅋ
1,타이틀리스트,why badminton??
2,메이,조아조아 하모니카 솔로~~~~~
3,hy_ahn,너무 조아
4,bj9266,"울거같애,,"
5,yjwjkh,좋아
6,rteemusic,뿌잉...죠으댜
7,aegisfight,조으다
8,sojeong88,쩐다........진짜 어려운거야 ㅠㅠ
9,rym035,와 대박이다
10,russki,아 이 노래 너무 좋다. 장범준은 천재인거 같음 ㅎ
11,shleeiou,좋아요
12,ihaveacold,듣고있으면 완전 두근두근. 오랜만에 귀가 호강하는 밤입니다!
