,user,comments
100,dongzzuny,지겹다고 느끼면서도 이 시즌이 되면 어쩔수없이 생각이 나는 노래
101,chldmsdud23,차트 보다 흠칫한사람 손
102,2run_jegill,무섭다 무서워 ㅋㅋㅋ 좀빜ㅋㅋㅋㅋㅋㅋㅋㅋㅋ
103,yunmi1359,연금 보태러 왔습니다
104,멜론짱,이정도면 음악책에 실어야된다
105,min,ㅋㅋㅋㅋㅋㅇㅈ
106,꾹_,중1 음악책에 실림 ㅁㅊㅋㄹㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
107,kangyj9322,이제는 봄에 안들으면 허전하다ㅋㅋㅋㅋ
108,ktwe3236,벌써 봄이냐..
109,hotra0307,벚꽃 연금 좋아!
110,유느,이제 기어 나오는 것이냐...
111,Kingcrap,슬슬기어올라온다
112,akibyori,이걸 내가 또 들으러 왔네
113,lch6339,연금떡상 가즈아
114,Polish,"굉장히 질리는것 같으면서도, 막상 들으면 간질간질한목소리에 설레이기시작ㅋㅋㅋㅋㅋ"
115,헤헷이득,아니 영구제명해야되는거아니냐 이정도면
116,개미똥꾸멍,또 그들이 다가온다 . .
117,hahanalra,어느덧 50위권!!ㅋㅋㅋ
118,Fuffe,범준이형 돈 떨어졌단다 얼른 올려라 얘들아
119,sus2005,차트1위 가즈아
120,keeen,이 노래는 말 그대로 레전드인듯!!!!!
121,이진환,좀비엔딩 가즈아
122,jwhylove3,봄이 왔다 올려라
123,이쁜손,진짜 너무 완벽한 봄노래야ㅠㅠ너무 좋아 벚꽃엔딩 없이 봄을 맞이 할 순 없지
124,vdpav02,봄이오면 들어야하는 노래! 질리지만 안들으면 섭섭한 노래
125,zestando56,쭈우우우욱쭈우우우우우우ㅜㄱ쭈우우우욱 연그음이 올라간다아아ㅏㅏㅇ
126,치고보니엄마,아 네 또 40억 벌러 오셨어요?
127,SeunghoonJung,연금시즌 스타트....
128,메이,ㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠ
129,sus2005,그대여그대여그대여
130,Pobest,어 그래 왔어??
131,hyunjae1101,이 노래의 엔딩은 대체 언제? 진정한 종신보험이다
132,joi1118,ㅠㅠㅠㅠ또 오는구나. 봄중행사
133,외않되,먼지엔딩으로 바꿔라ㅠㅠ
134,올해부터서른,하 온다
135,rudqlsdnr,벚꼼좀비닥!!!!!!!!!!!!
136,다람쥐,연금엔딩철이 다가오네요
137,pnike0426,2018 첫 벚꽃엔딩을 듣네
138,dsa1909,벚꽃코인 가즈아~
139,sus2005,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
140,toma9211,ㅋㅋ아진짜 봄만되면 생각나네 왤캐 안질리구 좋징ㅎㅎㅎ
141,달아달아,매번 봄되면 생각나고 질릴법도 한데 도입부를 들으면 여김없이 설레인다
142,Yomafa,차트 올라가즈아!
143,새벽녘,커밍쑨
144,hahanalra,올해도 즐겁게 벚꽃 볼수있기를!
145,jihoonikk,이제 10위권 진입을 만들어 보고자하는 맘까지 생겼다...
146,sondj,매년 댓글이 똑같네 ㅋㅋ
147,_dmani,벌써 땡기는 거 보니깐 장범준씨 화장실 타일 하나 정도는 해드릴 수 있을 거 같네요
148,petpro,벚꽃 좀비의 귀환
149,godqhrtkfkdd,이만한 봄노래 없는듯 짱 좋아
150,별의축제,3월이다 벚꽃길 가보즈아~~~~
151,오진우,ㅋㅋ나만 생각하는게 아니었구나 ㅋㅋㅋ
152,히키,슬슬
153,눈사,이제 또 나올때가 됬다
154,951202_,죠아아
155,0804,곧 ㅎㅎ
156,아테나9,일어나세요 용사여
157,1358twin,그냥 좋다🌸
158,dbsdudthf,요번 봄에도 ..!!
159,mody,몇 달만 있으면 또 온 거리에 울려퍼지겠군요 ㅎㅅㅎ 봄캐롤
160,paris444,전설의 벚꽃연금..
161,호쓰,내년에는 사랑하는 사람과 같이 듣기를
162,김주완,봄이란 이런 느낌...
163,hy_ahn,다외웠다!^^
164,hy_ahn,너너너너너너너너너너너너너너너너너너너너너너너너너너너너너너무죠으다
165,hy_ahn,너너너너너너너너무좋다
166,notch_,내년에 또보자 !
167,seoyoung_o,벚꽃엔딩..이름도 잘지었다
