,melon_id,댓글
70,ㅎㅆㅇ,나만봄
71,우아한.프라다,"헐.........


안지영 혼자 활동한데요ㅠㅜ"
72,가끔은하늘을봐요,이곡은 봄되면 들어야될 노래 탑5 순위같다 이젠
73,bolbbalgan4,차트 진입했다가 나갔다 하넹...볼사 화이팅♡♡
74,최승준,"이서야,,,,"
75,mini1028,봄에는 나만봄 ㅎㅎㅎ
76,닉네임은일곱자,안지영이 진짜 마음먹고 대중성 있는 곡을 쓰면 이런 곡이 나오는구나 싶은 생각이 드는 곡.. 노래에서 꿀이 떨어지는데 억떡계 안 들을 수가 있어ㅠㅠㅠㅠ 왜 다른 봄캐롤은 슬금슬금 올라오는데 나만 봄만 더디게 올라오는 것 같냐!
77,이기자은광,ㅜㅜ 봄냄새 맡고싶다ㅜㅜㅜㅜ 코로나짜증나
78,볼사노래좋아,올라왔다!
79,진짜좋은것만댓글담,햇빛 받으면서 이 노래 들으면 너무 행복해요 언니 사랑합니다❤️❤️❤️
80,벚피달,"Flower sunshine 완벽한 하루를~
여기부터 중독오짐"
81,Shouldi,벚꽃도 뭐고 다 필요없어 나는 네 곁에 있고 싶어~
82,네오udm4u,그냥 날 따뜻하니까 머릿속에서 자동재생됨 ㅠㅠ
83,혁님.,101위녜ㅠ
84,09우볼리,101위ㅜㅜ100위건 들자!!!!
85,BLUE지영,일간 이용자수 점점 는다 다시 올라오길
86,봄은a,"일간 98위!!
이대로 올라가자!"
87,잼벋,오늘 내 생일! 봄이라서 너무 좋다❤️
88,JUNH0_0,이거 부를 시절왔다
89,ㄱ아르아읓ㅊ,일간 99위!
90,네버낫,"12시 105위 1시 100위 2시 차트아웃

다시 돌아와.,,"
91,cogemimano,오늘같이 따사로워진 날 듣기 제격인 노래♡
92,앚엑,오오 차트진입!!!
93,stochastics,퀸만봄 실시간 진입 ㅋㅋㅋ
94,왜나만봄,13:00 실시간차트 100위 진입
95,잼벋,슬슬 들을때 됐쥬
96,혁님.,2020.03.18 135위
97,혁님.,2020.03.17 139위
98,moonj312,안돼 그만둬~~~내 맘도 모ㄹ흐고~~
99,왜나만봄,2020.3.16 135위 (+2)
100,왜나만봄,2020.3.15 137위
101,혁님.,2020.03.14 147위
102,왜나만봄,봄코인 떡상중
103,혁님.,2020.03.13 148위
104,혁님.,2020.03.12 142위 ♡
105,혁님.,2020.03.11 147위
106,1_kyne_g_one,따뜻한 봄날에 듣기 좋은노래
107,Miracle_Buddy,2020.03.10 150위 ❤
108,봄은a,올라와라!!
109,진짜좋은것만댓글담,벌써 언니노래 들을 계절이 왔어요 언니 사랑해요❤️
110,NEVER4EVER,작년봄 생각난다...
111,19korea,이노래는 들을 수록 좋네 ㅋㅋ
112,MJ-S2,너무 좋다
113,cktpwls,나만봄의 계절이 돌아오고 있다
114,인생죡같네스브러얼,갑자기 이 노래가 생각나네 ㅋㅋ
115,페코찌,플라워 썬샤인~~~~~~~~~~
116,왜나만봄,봄코인 떡상 가자ㅏㅏㅏㅏㅏㅏㅏ
117,탈퇴한 회원,봄되서 들렸습니다.
118,볼발광머리앤,올해 봄도 부탁해!
119,탈퇴한 회원,조만간 차트인할듯
120,네버낫,"51,152명 (+10,295)

131위 (+12)"
121,imyourcake,짝사랑 중에 들으니까 눈물 나온다ㅜ.ㅜ
122,줄게마갤럭씨,플라워 선샤인 완벽한하!루를사실~~
123,oafeiwjdb1929,너무 설레쟈나ㅜㅜ
124,jp.p,"flower 부분부터 말로 표현못할 벅차오름이 느껴지네요. 해질녘 철로사이 다리를 함께 걷던 옛친구가 그리워지면서, 한편으론 슬프지만 옛생각에 행복함이 섞인..."
125,xnekel,여자보다 남자들이 더 많이 들었네 ㅋㅋㅋㅋㅋ
126,볼빨간낯선아이,※댓글 답글순 정화합시다. 아무 말이나 끄적여주세요※
127,eun9984,최고!♡♡♡♡
128,Alwnxo,이노래로 설탕만들면 일키로 나오겠다 진짜 달달쓰하네
129,청와댸,"진짜 노래 들으면 너무 달달하고 4월 벚꽃 흩날릴 때의 그 기분이 생각나서 너무 환상적이고 좋다..
뭐라 말할 수 없는 벅차오르는 진짜 환상의 곡"
130,이재현아내,와 노래 겁나 달콤함 ㅠㅠㅠ
131,미묘한코코몽,노래 너무 달달해서 듣기만 해도 혈당 올라가는 기분 ㅠㅠ
132,Ammmn,설콘 씹레전드 ㅠ
133,So_jung_,이거 듣자마자 올해 봄 고3야자 때가 생각난다. 그때 좋아하던 애도 같이 야자해서 맨날 집에 버스 같이 타고 가려고 일부러 10시까지 하고 그랬는데 ㅎㅎ
134,ㅇㅇㅇㅁㄴㅇㅂㅈㄷ,몇 달만에 다시 듣는데 듣던 때의 추억이 떠오르게 해주네... 좋다
135,Rain3000,한동안 꽂혔던 노래들은 나중에 다시 들어봤을 때 저마다 한참 듣던 때의 기억? 이나 상황들이 떠오르는데 이건 딱 올해 봄의 그 따듯하고 조금 설렜던 분위기나 장면이 떠오름.. 그땐 거의 이것만 듣다시피 했는데 또 들어도 여전히 좋다
136,줄게마갤럭씨,놀러갈때 들으면 개설렘
137,진짜좋은것만댓글담,언니 노래 들으면 너무 기분이 좋아져요 사랑해요❤️
138,enddl2007,낮에 봄바람맞으면서 하이라이트부분 듣는데 진짜 심쿵함 그냥 모든게 다 적당하고 설렜음 ㅜㅜ지금도 그짧은순간 생각만하면 설렘
139,씨앗호떡꿀호떡,완벽한 허위사실 ~~
140,발라드따머키,어제 시상식 왜 안왔어요?
141,하르시엔,지금 들어도 너무 좋아~
142,김동현,진짜 너무 좋다
143,삼겹3,안돼 그만둬 도입부분이 너무 좋음 안지영만 가능한 노래
144,고3팬치,진짜 이어폰으로 들을때 도입부에 왼쪽 오른쪽 소리 다르게 들리는게? 너무 좋아요
145,달리할말,내 입대곡^^
146,와라!!,개인적으로 공감가서 꽂힘
147,내맘이열리게,딱 붙어서~~ 부분 진짜 너무 좋아요 노래를 어떻게 그렇게 잘 부르는지....
148,에이바제트,노래 틀자마자 올해 봄 생각나네
149,hyeonjun01,안지영! 우지윤! 봄빨간! 사춘기! 나만봄 예~!
150,Jennieruby,노래 너무 좋다ㅠㅠ볼사노래중에서 나의 사춘기에게랑 이게 젤 좋당ㅎㅎ
151,herb33,지나간 봄을 다시 데려오네
152,fwwr7350,가을에 계속 듣고있어요
153,홀롤롤로로로노롤,볼사 완전 팔색조임ㅠㅠ
154,졍달비,"볼사 독특해서 너무 좋앙
워커홀릭 과는 다른 분위기라서
여러 장르를 듣는거 같노"
155,sdyhhhh,숨은 띵곡
156,jp.p,플라워 선샤인 구간부터 멜로디가 상당히 슬프게 느껴지네요 뮤비장면이 떠을려져서인지
157,95_814,슬픈 노래는 아니지만 왜 슬프게 느껴질까...
158,Msftz,XX
159,미라클이지호,제 최애노래 애염♡
160,오후에점심을먹는소녀_,ㅠㅠ 볼빨간 사춘기 러브하는사람 좋아요 ㅠㅠ♡♡
161,JJangchang,"나는 네 곁에 있고 싶어 딱 붙어서~
제일 좋아하는 파트♥"
162,antiOJC,안돼 그만해 꽃은 넣어둬
163,하하.__.,"이 노래 들으니까 짝사랑하는 애 생각난다.. 너무 오래동안 짝사랑해서 더 좋아지네..
그러고 보니 4년 동안 짝사랑했다ㅜㅜㅜ 짝사랑하는 사람들 댓 달아주세요ㅜㅜㅜ"
164,미쩌,꽃은 넣어둬
165,어세긍,"나만 봄에서 (왜 이럴까 사람들은) 이 부분
soulmate에서 (오래 기다렸지 안녕)
이 부분이랑 박자만 다르고 똑같은듯"
166,어피치wrtxr,"안녕하세요저는이순옥입니다16살입니다
재생 다운로드
여행
볼빨간사춘기
Red Diary Page.2"
167,아라비카커피원두,"묘하게 중독성 있어서 생각날때마다 듣고 있어요, 굿굿!"
168,띠이.용,"“다른 사람 다 사라져라” 이 파트 나만 좋아하나? ㅠㅠ 진짜 어찌 보면 유치하고 귀여운데 이 부분은 어느 커버 곡에서도 못 살리더라..
약간 엄마가 어린 아들한테 ‘아픔아 날라가라~’ 하는 느낌이 그대로 듦.,"
169,가인_여솔원탑,볼사 노래는 계절별로 듣기 좋은 곡이 참 많은듯
170,쭈마뇽,이렇게마니들은거 처음
171,가요팝제이팝,죻아 모흐고 ㅋㅋㅋ
172,안지영사생팬,이 노래 스밍같은 짓 안하고 순수하게 들은 횟수만 498번이다... ㄷㄷ
173,muric,♥♥♥
174,se_xybird,"다른사람 다 사라져라~
하는데 타노스 미소 떠올라버림...ㅜㅜ"
175,레벨더꾸,가사가 너무 귀여워ㅠㅠ
176,오오오오오오예압,노래는 좋은데 안지영 딕션은 아직이구먼..
177,갓친버디포레버_MAGO,언제나 들어도 좋은 곡❤
178,닉네임뭐함니깡,이런 봄노래는 역시 설레는 사랑노래
179,이씨삼촌,이 봄에 최고였습니다~~♡
180,antiOJC,안지영 너무 귀여운척 하니까 귀여워!
181,닉네임뭐로해야합니까,설레넹
182,멜창,"플라워선샤인 완벽한 하루를 사실 너와 걸을 수 있다면 얼마나 좋을까....
벚꽃도뭐고 다 필요없어 다만내곁에있고싶어 딱붙어서
가사 진짜공감된다 두달째 짝사랑중인데...."
183,탈퇴한 회원,여기 오신분들 다들 답글순 어그로 글들에 음란성 신고 한번씩만 눌러주세요~^^
184,머환중사,가사 처음 부분이 좀 야하게 느껴지는데 내가 이상한건가
185,탈퇴한 회원,듣다보니 266번 들었네요. ㅋㅋㅋㅋ 너무 좋아요^^
186,냠냠마시땅,바-보 선샤인~ 이렇게 들어서 엥 뭔 노랜데 볼사노래에 바보가 들어가지 싶었는데 플라워였구나
187,돼순_,저만 이노래듣고 울었어요? 운사람 빨리 나와줘요 쪽팔리니까...
188,pumpout,딱 붙어서~ 이 부분 넘 좋당.
189,rainy_blue,"♪♬언제 봄이 왔는지
(내 맘도 모흐~ㄹ고 봄빠람이 자꾸만 불허ㅇ와 )
이 부분이 너무 좋음 볼사 특유의 발음"
190,클래오밥주라,앵앵거려서 개 싫어했는데 이 노래 목소리는 너무 설레네
191,VWVw,안지영은 천재야 진짜..
192,hyejung__,목소리가 이렇게 특이하게 매력적인데도 곡마다 느낌이 새로운게 참 신기하다
193,탈퇴한 회원,"여기 답글순 왜이렇게 더럽냐ㅋㅋㅋ
팬코에 무개념에 난리네"
194,지오공,"113,456♡"
195,grace2214,"♥110,955♥"
196,Americano25,"첫 도입부가 익숙하다 생각했는데 이노래와 비슷한것같아요..ㅎㅎ
재생 다운로드
사랑이 뭔데 (Inst.)
서현진, 유승우
또 오해영 OST Part.3"
197,tksh99,나도 봄
198,C.Bar,"다음 컴백때는 더 좋은 곡으로 돌아오도록~
재생 다운로드
나중에 만나
어쿠스틱 기타
넘나 좋은 어쿠스틱 기타 모음곡 #6"
199,hye11w,데일리 감상자수 위에있는 노래보다 많넹 !
200,포용하리,뮤비 보면서 들으니까 노래가 더 좋네요
201,탈퇴한 회원,완벽하군..
202,thdwldn3205,진짜 너무 좋다 흠 잡을 데가 없다
203,하하.__.,"나만,봄 다시 1위 가즈아~!
(2,3위 라도..)
재생 다운로드
나만, 봄
볼빨간사춘기
사춘기집Ⅰ 꽃기운"
204,혁____,106666
205,뭐ㄹ봐,목소리가너무좋은것같아요♡ㅎ
206,가요팝제이팝,노래 좋다.
207,s__3,나만 바보 sunshine으로 들림??...
208,탈퇴한 회원,"월간 1위❤️
재생 다운로드
나만, 봄
볼빨간사춘기
사춘기집Ⅰ 꽃기운"
209,챙람쥐S2,월간 1윙 !!♡♡
210,범규왕자님,와대박볼빨간사춘기 목소리 대박 좋아❤❤❤
211,독도리1,"같이○
모두●
함께☆
봄봄봄●○"
212,화를참는사람,딱붙어서어~
213,달콤한보이스_음악매니아,"이 사춘기집에 나온 다른 노래..즉 <나들이 갈까>,<별 보러 갈래>,<Seattle Alone> 이런 노래들도 정말 좋은 노래이지만 이 노래는 특히나 더 봄과 잘 어울리는 명곡인 것 같아요♡"
214,코인노래바아아아앙,넘 좋음
215,짜냥하는여친,노래 너무 상큼하다ㅋㅋㅋㅋㅋ 약간 여행 곡이랑 분위기 비슷함
216,탈퇴한 회원,안대 그만도 거기까지해~
217,꼬마-,이 곡을 어떻게 하루만에 쓰는거죠?? 대박이네요...
218,지예ㅇ,우지윤인가 뭔가 그사람은 하는게 뭐임. 궁금해서
219,아기상어뚜룹뚜룹,이 노래를 마감기한 때문에 하루만에 작사작곡한 갓지영...
220,1-_--_-1,십센치 + 장범준 느낌이넹..
221,ykkim489,가사가 진짜 지금 딱 내 상황이다ㅠㅠㅠㅠㅠ
222,Chm0225,오늘유희열스케치북에나오네요
223,지예ㅇ,flower을 바보라 말하는 안지영 불-편
224,기분너무좋노,노래 개좋노 ㄷㄷ
225,kidmillillinare,팬코가 뭐죠??
226,몬숙,딱 붙어서어~ 이부분에 중독된거 저뿐인가요?
227,뽀잉뽈,처음가사 더다가가면 이거 왜 너다가가면으로들리지..
228,CU_0,"100,270"
229,kelee05,굿굿..:)
230,탈퇴한 회원,10만하트 ㅊㅊ
231,지예ㅇ,안지영님 영어 단어도 못읽으시다니.. 그것도 엄청 쉬운 단어를... flower를 바보로 읽으시는 분은 첨봄 9살도 이 단어 읽을수 있음 ㅎㅎ
232,멜망사랑해김민석존잘,개좋아ㅠㅠㅠㅠㅠㅠㅠㅠ❤❤❤❤❤❤❤
233,Miaaaaaaaas,내맘좀 알아주라ㅠㅠㅠㅠㅠㅠ
234,조서우123,"가사에 flower sunshine 저만
바~보 션샤인~으로 들리나요?"
235,인딕이기여웡,"봄이히 지나하 갈때헤 까지히
나만 숨소리 좋아..?"
236,편안한수면기원,왜 이렇게 밑에 있냐
237,kty4252,"어쩜 이렇게 목소리,음색,가사,멜로디 다 이쁠수가 있죠ㅠㅠ
좋은 노래 너무 감사합니다ㅠㅠ"
238,주연만세,부럽다
239,사탄킹지금은거지,아 인트로 좋다
240,ehcl1994,인트로 부분이 어디서 엄청 들어본 것 같은데 어떤 곡이었는지 기억이 안난다..
241,케인즈형,우리나라 애들은 쓸데없는거에 왜케 목숨걸고 싸우냐 그냥 좋은 노래듣고 좋은 댓글쓰고 가면되지 국민성 더럽다 진짜 누가 먼저 시비튼건지는 모르겠지만
242,안개꽃화관,"볼빨간사춘기분들이 이 댓글을 보면 좋겠어요. 이노래 들을때마다 눈물나요 ㅠㅠ특히 하이라이트부분! 왜냐면,, 멜로디가 너무 아름다워요. 너무 예뻐서 눈물나요 정말. 감동적이에요 하,, 가사와 별개로 멜로디가 너무 아름답고 벚꽃이나 봄꽃 떠올리면서 들으면 진짜 너무 잘어울리구 좋아서 눈물이나요...ㅠㅠㅠㅠㅠ 예쁜 노래 고맙습니다"
243,포레스트검프,안지영씨 최고 곡 좋아영
244,우헤헤헷헷,설렌다..
245,BYULBIT,내 얘기같아서 왠지 슬픔..ㅠ
246,december12,근데 시작 전주부분? 유승우서현진 부른 시랑이 뭔데랑 비슷
247,sinnahaha,중독되용ㅎㅎ
248,나나나후니,순위 무섭게 상승하고 있네요 ㄷㄷㄷㄷㄷㄷ
249,14235124234,노래 너무 좋아요 ❤
250,Yooseonhomom,이런 좋은 노래를 소개해줘서 고마워 오늘 힘들었잖아 푹쉬고 잘 자 ^^
251,안젤라,"에휴 이런데서도 싸우네 이제 들을만헌곡은 하나밖에 없네....
.
.
.
.
.
볼뽀뽀예!"
252,노래에빠지다.,볼사 음색 너무너무 좋아 ㄹㅇ 짱
253,VWVw,볼사 노래는 어디 놀러갈 때 듣기 참 좋은 것 같아요..
254,Fleek,팬덤 상관없이 주변사람들 모두 고르게 듣고 있다는게 볼사의 최대 장점이라고 생각합니다 ㅎㅎ 잘 듣고 가요!!
255,천사린린,봄 날씨랑 너무 잘 어울려요❤️ 필요없소~ 네 곁에 있고시포~ 딱붙어소~ 하는 지영님 특유의 발음 너무너무 사랑스러워요ㅎㅎㅎㅎㅎ
256,sayga7942,근데 작년이맘쯤 여행때도 방탄이랑 컴백겹쳐서 별점테러당하더니 또 겹쳤누. ㅠ
257,awsed99,음색 환상. 노래 잘하는 사람은 요새 많고 많아요. 오히려 너무 많아서 날고 기어도 대중들의 픽을 받기 힘들어 졌고 그만큼 꾸준히 사랑받기는 힘들죠. 안지영이라는 보컬도 절대 꿇리지않는 실력을 여태껏 보여줘 왔고 작곡에도 임한다는게 놀랍네요. 하이라이트 부분에 기교없는 깔끔함이 요새 질리도록 들어온 노래와는 달랐습니다.
258,sayga7942,솔직히 볼사노래 전부 작사작곡 안지영이 거의 혼자 다하는데 이정도면 훌륭한거아닌가?
259,jp.p,들으니 여기가 너무 쓰리다
260,wlstkfkd77,강형욱님께서 좋아요를 누르셧습니다.
261,twosunpaper,"바보~선샤인~

으로 들려용ㅎㅎ그래도좋아욥♥"
262,말랑샤벳,I think this song perfect
263,swlee40,가사 너무 좋아요♡♡♡ 볼사 더더 흥해랏!!ㅎㅎ
264,SweetGuy,방탄이 컴백했는데 2위를 지키고 있는 거 정말 대단하다
