,melon_id,댓글
71,IGK,이 노래 나왔을때 진짜 그 느낌 말로 표현이 안된다...
72,SH_lovely_,옛날생각 몽글몽글
73,timberhouse,"군대에서 막 일병달고 수백번들은곡

엠넷만틀면 나와서 미쳐보릴뻔"
74,앙녕나능융지,몇년째 듣고있는거지
75,소녀감성--,그대여~ 그대여~ 그대여~
76,범준장,이노래 올라오는거 왜이렇게 신기하지 ㅋㅋㅋ
77,네모멍이,"벚꽃연금 반가워요
그래도 계속 질리지가 않는다는게...^^"
78,탈퇴한 회원,왓네요 이 시기가.
79,사랑한다증말,헐 진짜 올라오는구나...이런거 처음봐...
80,jtojj,"이 노래도 벌써 10년이 다 돼가네ㅜㅜ
ㄷ ㄷ"
81,잡식성귀임,벚꽃엔딩 너무 많이 들어서 진물이 나는데 벚꽃 보면 생각나는 게 벚꽃엔딩밖에 없어서 헛웃음 나옴 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
82,잡식성귀임,좀비엔딩 ㅋㅋㅋㅋㅋㅋㅋ큐ㅠㅠㅠㅠㅠㅠㅠ
83,연재,사재기만 없으면 순위 더 높겠닼ㅋㅋㅋㅋㅋㅋ
84,Zzzzzzzzzz_,"벛꽃연금 ㅎㅇ

(◍•ᴗ•◍)"
85,Emotionpop디제이감성,벚꽃노래
86,phne86336,ㅋㅋㅋㅋㅋㅋㅋ 20위 대박 대박 대박
87,토리열,ㅋㅋㅋㅋㅋ또 왔구나 반갑다ㅋㅋㅋㅋㅋ
88,wkdkdkke,이쯤되면 벚꽃피면 봄이아니라 이노래 top100안에들면 봄임 ㅋㅋㅋㅋㅋㅋ
89,dkssud_gktpdy,진짜 봄이구나 순위 오르는거보니까 ㅠㅠ 근데 밖에 나가지도 못하고....ㅌㅋㅋㅋ
90,햇님햇님고햇님,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ이제는 봄만되면 듣는거 습관됨 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ봄에 안듣고는 못베김;)
91,연름,귀로 봄냄새 맡을 수 있는 새긋새긋 꽃기운 노래˘ᗜ˘
92,영준,아 이 노래 또왔네ㅋㅋㅋㅋㅋㅋ
93,neidvehs,5위안으로 가나요??
94,hannegaby,"기쁜 소식은
벚꽃엔딩이 멜론 인기 검색어에서 1위를 차지.

슬픈 소식은
우리 동네에서 벚꽃이 반쯤 사라짐."
95,맹구우승,"올해도 돌아왔다!!!!대한민국에 이 노래가 울려퍼지면 “아,봄이구나”를 일려주는 곡"
96,뽝뺙뺙,"이 노래는 도입부터 그냥 벚꽃 봄 그 자체임
마음이 너무 멜랑꼴리해짐"
97,당신은내뮤즈,또시작이군요 장봄준씨
98,tudr,일간 20위 진정한 봄연금
99,레드벨벳IRENE입니다,한때 멜론 좋아요 1위가 벚꽃엔딩이었지 그리고 봄날 좋니 코코밥이 30만대였던때가 엊그제같다...
100,atthetop1,어떻게 벚꽃을 멜로디로 이렇게 잘표현했을까..
101,꽃처럼_피어나,벚꽃 대리만족이라도 할 수있게 1등 해주세요 젭알
102,오우셋,봄스커봄스커
103,kdiendlf8,와 18위.. 실화냐 ㄷㄷ
104,unknown3637,와 지금 20등이네
105,음악듣는사람인가...,봄마다 거의 다 올라오네...괴물이다 장봄준!!
106,엘라아아아아아,설마설마했는데 ㅋㅋㅋㅋㅋ또차트인 했어????
107,rab135,이노래는 벚꽃 그자체다ㅠ
108,SUSHIBRO,밖에 벚꽃 만땅이다
109,단발머리그아이,장범준=봄무원
110,프로드d0n89,봄이 왔다!
111,아라비카커피원두,겨울엔 머라이어 캐리가 있다면 봄엔 장범준님이 있는거 같음
112,Illm,닭 목을 비틀어도 새벽은 오듯 밖을 못나가도 봄은 오는구나
113,SeoSangMin07,진짜 이곡말고 1년에 한번은 무조건 차트들어가는 곡이 있을까 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
114,chilling,"10년 세월 지나도 봄만 되면 듣고 싶은 트렌디한 곡...
진짜 벚꽃연금 !"
115,제로탁l,"언제들어도 좋은 노래
걷고싶다 흩날리는 벚꽃 ~~~"
116,선욱,코로나땜에 올해는 차트인못하는줄 다행쓰ㅠ
117,ooper12,그 댓글 어디갔지 나중에 봄이 사라지면 이 노래 들려주면서 봄이라고 해도 될 정도다 뭐시기 이런 댓글
118,대한민국고딩no0403,돈이 드르간다 휘리릭찹
119,해피펀치레고,벚꽃 감성 좋다♡
120,익ㅡ명,기상청보다 더 정확한 멜론 ㅋㅋㅋ
121,박쌩쥐,오랜만에 나오니까 뜨뜻한게..ㄹㅇ봄이구만
122,노래듣고있는댕,이노래를 들으면 그냥 벚꽃이 연상되고 푸르름이 연상되고 그래서 봄에는 몇번이나 듣는 곡!
123,cozy1407,ㅋㅋ 봄만되면 올라오는 이노래
124,hannegaby,2020년 4월 1일 만우절에도 벚꽃엔딩 신드롬이군요.
125,김도현,연금 on
126,아라비카커피원두,도입부 부터 들어도 봄기운에 설레지는 띵곡
127,떠으니se,"걱정없이 꽃구경하고싶다ㅠㅠ
✿언제 들어도 설레는 노래✿"
128,조리퐁우유맛나,코로나땜시 벚꽃구경도못가니 음악이라도ㅠ
129,음악듣는사람인가...,이제 봄이니까 슬슬 올라온다!
130,슬랩더킬러,10년전 노래가 32위 실화? ㄷ
131,핑크무스,언제 들어도 진짜 설레는 곡
132,givemepraise,범실딱
133,토깽이._.,갑자기 순위 뚝떨함 ㄷ
134,gamsungchoong,ㅡ실화
135,LILILILI,코로나때문에 밖에나가 벚꽃을 못즐기는건 아쉽지만 코로나덕분에 미세먼지 없는 봄은 좋네요
136,아이러브석진,벚꽃 보이면 생각나는 노래 1순위
137,최수혁,신인가수 실버판테온 응원합니다.
138,무르시엘SE,버스커버스커 장범준에게 밀림.. 흔들리는 꽃들에게 밀려버림
139,탱구왔서현,나중에 언젠가는 벚꽃엔딩이 100위권에 못들어오는 날이 온다면 너무 서운할 것 같음... 스밍 돌려주고 싶은 맘 가득...
140,YEYO_hy,벚꽃 엔딩은 벚나무 밑에서 산책하는 환상이 들게 하는듯ㅜㅜ벚꽃엔딩이 나와야 진짜 봄이다ㅜㅜ
141,0syooo,"진짜다
코로나때문에 이노래라도 들어야지"
142,버터구이오징어,맨첨에 하모니카는... 진짜 기억을 떠올리게 하는 뭔가가 있다
143,Iucee,점점 지구온난화가 시작되고 봄을 이해 못하는 세대가 생겨나도 이 노래는 꼭 기억됐으면
144,GF세젤귀린_여친6주년1위,"28위 미쳤따리 ㄷㄷㄷ....
아니 근데 솔직히 이 노래가 제일 봄의 그 살랑살랑함(?)을 가장잘 표현하기는 맞는거 같음. 근데 언제(년도)까지 계속 봄에 역주행할까? 궁금하네.. 아까 까지 스밍자수 9만이었는데 11만으로 늘어났고ㅋㅋ 어디까지 올라가지 이노래는"
145,Com123_건빵,이시국에 벚꽃은 못보러가니까 노래로 대체한다
146,seungkyuY,28위다!
147,탈퇴한 회원,"봄 노래하면 이게 제일 먼저 생각남
듣기만해도 벚꽃길 걷는거 같음"
148,JUNUZZANG,다시 돌아오셨군요
149,ppcherry,또 오셨습니까... 위로 모시겠습니다
150,eornal6775,봄에는 역시 벚꽃엔딩
151,nrnrhfbd,연금 부럽다
152,인성아아아아,대단하다ㅋㅋㅋㅋㅋㅋ진짜 이 계절 날씨에 듣고싶어지는게 벌써 8년째ㅋㅋㅋㅋ
153,GF세젤귀린_여친6주년1위,역주행이네 봄에는 역시. 저희 그룹에도 봄에 대한 노래가 있고 역주행도 했었지만.. 이 노래가 제일 대중픽이라고 부정은 못하는게 학교체육시간에도 거의 이거 나와요
154,요랑단,"와,, 드디어 올라오네 1등 가즈아~!!"
155,jbyfamily5506,그래 이날씨에 뭔가 허전하다했더니 이노래를 안듣고있었어
156,네오udm4u,와 올해도 설마 했는데 진짜 대박이다 몇년동안 봄마다 탑100안에 들지 궁금하다
157,ha0933,벚꽃연금 또 타겠네.장범준님 역시 벚꽂필땐 벚꽃엔딩이지!!!
158,이뿐마눌님,탑 100에 안 들어있었으면 사운할 뻔~~ 난 지금도 듣고 있다고 ㅎㅎㅎ
159,고구마라떼_,"349,463 멜론 좋아요 1위 맞나?"
160,unknown3637,매년 이노래로 바깥날씨가 어떤가 알게 된다
161,푼수주책,벚꽃놀이도 못가서 봄을 느끼고 싶어서 들으러 왔는데ㅋㅋㅋ 40위권이라뇨ㅋㅋㅋ
162,tjdfyd99,"올해는 안들어야지
했는데 결국 또왔넹 ㅋ"
163,밤옥이,벚꽃좀비 올라온다
164,Yuuhw,"코로나도, 못 막는 벚꽃엔딩
이 노래는 그 계절 자체여서 좋다"
165,kyung7234,내가 어째서 이 노래를 10000들은거지
166,R__ang,"날이 좋아서 듣게되고, 꽃이 피면 듣게되고,
그 사람이 생각나면 듣게되는 참 묘한 노래다"
167,필립스군,"잊을만하면 나타나는 벚꽃연금 반갑다
오늘도 귀호강한다 ㅎㅎ"
168,쓰위밍-,솔직히 올해는 코로나때문에 차트에 못 볼 수도 있으려나 했는데ㅋㅋㅋ 역시 장봄준 대단하닷. 봄하면 벚꽃엔딩이지 역시ㅋㅋ
169,kyung7234,너무 좋아요 버스커오팡
170,HappilyM,그 노래가 올라오기 시작한다....장태식이 돌아왔으
171,당신은내뮤즈,코로나도 못막음 벚꽃놀이 못가니깐 방구석 벚꽃엔딩 듣긔
172,nogonma,돌아왔구나 장태식이
173,그린티90,진짜 들을때마다 봄이 느껴진다~♡
174,hannegaby,"올해도 봄의 상징 벚꽃엔딩이 왔지만...
왜 목련엔딩이 없을까?
목련도 벚꽃처럼 봄을 상징하는 꽃으로 알고 있는데."
175,아가멍뭉이,새내기가되어 들으러왔어요! 코로나끝나면 날아다닐거에요ㅎㅎ
176,감성과감상과감성가,추억 갱신 노래임 ㅜㅜ 벚꽃보러가고파
177,상상로1,ㅋㅋㅋ다시 들으러 왔습니다
178,싱하123,쭉쭉 올라가는건 아니지만..슬근슬금 올라가네
179,사표내기1초전,아 봄놀이 가고싶어 미치겠다진짜
180,아라비카커피원두,올해도 벚꽃연금 발동 하는군요 간만에 들어도 역시 띵곡운 띵곡이네요
181,Musforyi,벚꽃엔딩 또 스멀스멀 올라오기 시작하네
182,모자안에개구리,"12학번한텐 진짜 평생 못잊는 노래...
신입생때 캠퍼스 안에서 계속 들리던 노래라서
살다가 지치면 찾으러 오게된다"
183,크크크q,"와 이노래는 진짜. . . . 대체불가
대학생때 생각나네ㅜㅜㅜㅜㅜ"
184,생율밤,집에만 틀어박혀 있었는데 이 노래가 차트에 올라온걸 보니 밖에 날씨가 따뜻한가보네요 밖에 좀 나가야겠어요
185,MPG0414,이노래 매년 들었는데 아직도 난 솔로야?
186,0_0___lok,진짜 봄 노래 이거 만한게 없다
187,야나두야너두,"되게 봄소풍의 상큼함이 묻어나는 노래인데,
진짜 우울하거나 기분 거지같은 날에
들으면 아련터지는 느낌으로 더 듣게 되는느낌
나만그런가...?"
188,팔로워안하면뚝배기,"벚 벚나무
꽃 꽃씨
엔 엔단
딩 딩가딩가"
189,박용재,아니 또 생각나네ㅋㅋㅋㅋㅋ
190,love_you,"벚꽃연금
이정도면 연봉수준."
191,사재기현장을보면짖는개,'그' 벚꽃 올해도 어김없이 차트 출현
192,이곡동큰손,와우...23업...올해도 벚꽃좀비 등판이네
193,BJH,이 글은 10년후 성지글이 됩니다.
194,BAAAAm,매년돌아오는 수금시즌 ㅋㅋㅋㅋㅋㅋ
195,arianazeus,벚꽃은 어김없이 피지만 군항제는 안 해서 너무 아쉽네요 상황이 이렇다 보니... 창문 열고 노래라도 들으며 아쉬움 달래야겠어요
196,gogma8,"이쯤되니 궁금하네요 3년후 10년후 20년후에도 계속 차트인할것인가!
그때의 내가 답글좀 남겨주면 좋겠다."
197,이인건,올라오네 아ㅋㅋㅋㅋ멜론차트 딱 대 ^^ㅣ발!
198,Gaw12,"범준이형 치트키 노래 ㅋㅋㅋㅋ

근데 봄만 되면 이노래 생각나서 안들을수가없어 ㅋㅋ"
199,콘3x0jx,이야...범준이형 고정소득ㄷㄷ...
200,숨안죽,"머야ㅋㅋㅌㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ봄 되니까 사람들이 또 듣나보네 차트에 잇어서 놀랫다
항상 봄되면 차트인하는 노래..."
201,love_you,"이번 봄도 벚꽃엔딩과 함께❤️
봄냄새난다~"
