,melon_id,댓글
321,배고플땐참치마요,아침에 이거 들으면서 버스타고 창문너머로 벚꽃보는거 좋아하는데ㅠㅠㅠㅠ 빨리 나가고싶다....
322,로미로밈,"명곡......... 지금 들어도 설레고 좋음 ㅋㅋㅋ
이상하게 봄만 되면 이노래가 듣고 싶음,,
이번엔 코로나땜에 좀 늦네 ㅜㅜ"
323,cloverfor,차트순위 326위.. 순위 엄청올라왔네.. 봄이 오는구낭
324,청량처돌이...,"이건 나온지 8년이 다 되가는데도 하나도 안질리고 오히려 봄만 되면 떠오른당,,, 참 신기해 이만큼 봄에 꾸준히 듣기 좋은 노래 못봄 ㅠㅠㅜ"
325,hyuuu33,온다 온다 이 노래의 계절이 온다
326,hannegaby,"2020년 3월 5일은 경칩입니다.
그리고 2020년 3월 20일은 춘분입니다."
327,하지호,코로나와 지구온난화의 최대 피해자
328,이프뱅,"봄 : 벚꽃엔딩
여름 : 한여름밤의 꿀"
329,닉모할까,와 2012 2013 2014 2015 2016 연간에 들었음
330,hannegaby,"여름에 팥빙수가 있다면
봄에는 벚꽃엔딩이 있습니다."
331,임시완아내1호,올라올때됐나
332,mi1ns,오늘 날씨 넘좋당
333,탱구왔서현,222위다
334,네버낫,"31,014 (+2,668)

222위 (-7)"
335,야호바-ㅅ-,"오늘 날씨 좋다,,, 들어야되겠어,,,,,,,,"
336,양홍원_인스타_라방_켜,500위였는데 뭐야 역시 벚꽃연금
337,edni3,"진격의 벚꽃엔딩

3/1 - 379위
3/2 - 215위(+164)"
338,피잉크포옹,좀비엔딩 슬슬 깨어나자..!
339,I_Love_You_3000,"코로나도, 미세먼지도 사라져 벚꽃잎만 봄바람에 흩날리는 봄이 왔으면 좋겠다 정말..."
340,싱하123,3월이라거
341,lovejesus19,"올해는 예년보다 따뜻해서
벚꽃이 빨리 핀데요
갑시다 벚꽃엔딩 !!!"
342,뿌요우,"스무살 대학생때 들었던 노래.
벌써 8년이 지났지만 여전히
이노래 들을때 만큼은 스무살인 느낌
그때의 추억이 떠오르는 신기한 노래"
343,쑤니셋언냐,오늘 379위네요 ㅎㅎ 3월 되자마자 버스커버스커 1집 듣고있습니다.
344,Anemona,"들을때마다 매번 설레서 소름 돋아,,
생각날 때 한번씩 찾아듣는데
느낌이 이렇게 매번 살아나기도 쉽지 않아ㅜㅜ
12년도는 물론이고 그 이후에 벚꽃엔딩을 들으면서
겪었던 모든 일들도,,ㅠㅠ진짜 마법같은 노래."
345,minminv,3월이다
346,양홍원_인스타_라방_켜,올라가자 애들아
347,탱구왔서현,469위.. 슬슬 올라오네
348,탈퇴한 회원,다시 차트 역주행할 계절이 찾아옴
349,안장은,ㅋㅋㅋㅋㅋ또잡아먹겠지 차트
350,GodKyung,빨리봄와서 차트정리좀해주십쇼
351,Reopard2Breeder,그대여 그대여 그대여
352,웅._,전주만 들어도 설레는 노래
353,dong0262,484위
354,금세만세,504위
355,kplulu,날씨 조금 따뜻해지니까 생각나는 바로 그곡.. 듣자마자 4월로 시간 이동.
356,돌가리,아 왜 벌써 듣고싶냐
357,juwoncozyboy,이제 진짜 얼마안남음 올해도 나오겠지
358,vulgo,입춘이 왔으면 꼭 이 노래를 틀어야 하는 국룰이 있습니다
359,Reopard2Breeder,그대여그대여
360,방구몬,"그 해 4월에 자대배치 받고 신병 견장 차고 있었음.
생활관에서 선임들이 뮤직비디오 틀어주는데
황홀했네요.
노래가 끝나면 찾아오는 현타.......
신병때라 그 차이가 더 크게 느껴지더군요.
첫 휴가 받고 복귀하는 버스에서 드는 느낌이랄까."
361,BeE,"무섭다...벚꽃좀비...
곧 수많은 봄캐롤들이 올라오겠지...ㅎㄷㄷ"
362,김주환환,440.
363,구삼공오일육,따등낭 왜 안질리죠 이노래 곧 듣게 되겠지만 그래도 안질릴거 같아서 화나효
364,Rococoo,오늘 날씨 봄
365,경민,벚꽃엔딩 사랑해....
366,윤정,571위 . 나만 듣는게 아니구만
367,미네미네미네미넴,아.... 오늘부터 봄인가
368,맑은고딕v,스멀스멀 올라오는중ㅋㅋㅋㅋ아직 2월이다 인간들아ㅋㅋ
369,프로필렌글리콜,....봄인가?
370,찹쌀떡._.,"이 앨범도 벌써 8년전
누구나 이 앨범과 벚꽃엔딩에 그 해 쯤의 추억을 떠올리면서 듣고 있겠지"
371,여언규,653위.. 치고 올라온다..
372,blueday320,날씨 풀리니 역시 벚꽃엔딩 땡김
373,왕불주먹,4일 전에 713위였는데 력시 올라오고 있군
374,박효신의_최강죽창부대,좀비다!
375,강수민,"이 노래를 들으면서 벛꽃사이를 걸어가는 생각하니까 ♬♪♪ 설렌다 ㅎ
아니면 자동차 타고 창문열고 가는것도 ㅎㅎ"
376,서태지와어른들,"첫 스마트폰 첫 스트리밍한 노래가 벚꽃 엔딩이였는데..











괴물이다 장범준.."
377,gksmfqkr,도대체 언제쯤이면 잊혀질까 이노래는
378,달빛아래빛나는,입춘이니까 이제 들어야죠
379,재훈이,이 노래보단 봄봄봄이지
380,hannegaby,"2020년 2월 4일 입춘입니다.
봄의 기운과 꽃샘추위가 찾아왔습니다.
그런 의미로 봄을 상징하는 음악으로 왔습니다."
381,L_in,너무 좋아요 정말.. 이 노래 들으면서 보냈던 봄들이 떠올라요. 얼른 따뜻해져서 봄이 오면 선선한 바람 맞으면서 듣고싶어요.
382,IYPresence,12학번은 절대 잊을 수 없는 노래. 새내기 시절 점심시간에 학생회관 동기들이랑 지나다니면 무조건 나오던 노래. 벚꽃 휘날리던 캠퍼스와 예뻤던 내 청춘이 떠오르는 곡이다
383,보_석_,근데 애초에 기계로 계산하는거아니야? 왜 2010년대 차트 빨리 안나옴?
384,김현우,올해 봄에도 부탁한다
385,아-_.,곧 있으면 2010년대 순위 나오는데 1등될 것 같다 아니더라도 상위권
386,xnem,겨울에 전기장판 틀고 귤까먹고 있어도 이 노래만 들으면 봄냄새남
387,쑤니셋언냐,겨울인데 981위ㄷㄷㄷ 세달뒤면 또 스멀스멀 오겠네
388,한밤의카니발,어떻게 이런 노랠 만드냐...
389,아이유챰좋다,"과연 이제 두달도 안남았는데
2010년대 시대별 인기극 1위 할 것 인지..
근데 벗꼿엔딩은 1등이 당연하고
여수밤바다도 순위권에 집어넣어야함ㅋㅋ
그리고 또 어떤가수들이 순위에 들어갈지 궁금함ㅋㅋ님들은 2~10위까지 누가들어갈것같음?
일단 아이유,빅뱅...말고는 기억이안나군..."
390,jtojj,들을 때마다 봄인것 같다
391,탈퇴한 회원,어릴 적 봄이 떠올라서 좋다. 매년 들을 때 새로운 봄이 이 노래와 함께 기억 되는 것 같다.
392,여심루팡인직,초반 도입부 기타 띠리링 소리가 이문세 옛사랑이랑 똑같네ㅋㅋ 명곡의 조건인가
393,꾹홍비,진짜 한겨울에도 이노래 듣고있으면 봄으로 시간여행하는 기분임
394,재밌게사는게목표,노래 참 좋아
395,Spot__,진짜 봄하면 생각나는 곡.. 이 곡 없었으면 매해 봄 허전할뻔 했어....
396,moongbee_0324,6년전 초등학생때 엄마랑 같이 뮤비 보면서 웃고 얘기하던 기억이 나네.. 다시 그때로 가고싶다
397,김꾱치,봄의 상징..
398,망망망망망힝망망망힝,이만큼 하트 수 많은 노래도 없을 듯
399,yesmynamerosy,손녀를 등에 업고~
400,윤환,진짜 내 취야밈
401,loveu0,이 곡이 없었다면 매년 맞는 봄이 조금 덜 기뻤을 것 같음.
402,탈퇴한 회원,내년 봄에 봐요^^
403,모A_In스피릿,나갔네... 봄끝
404,minminv,이제 봄 도 끝나가는구나
405,G_VIH,박형식이 부른거 듣고 들으러 옴ㅎ
406,오랜방황의끝-,"2016년 3월 9일 모방송에서
벚꽃엔딩으로 번 돈 이야기 나왔는데
ㄹㅇ 연금 그 이상

갓꽃엔딩"
407,레드벨벳IRENE입니다,이 노래 5월에도 보고싶은데 4월이 지나면 헤어지는건가요 ㅠㅠㅠ
408,aituo0,이제 이 노래가 차트인 하면 봄이 온거고 차트아웃하면 봄이 다 갔다고 생각할게요
409,참주민주,매년 잊을만하면 슬금슬금 올라오는 노래 ㅋㅋㅋㅋㅋㅋㅋ진짜 이거 잘만들었다
410,tnfls1945,이번년도는 빨리내려가네 ㅋㅋ 잘가~~ 하며 듣고잇다 ㅋ
411,did._.ysp,오늘 날씨가 좋은갑네
412,탈퇴한 회원,와 또 올라오네ㅋㄱㅋㄱㅋ진짜 이 노래 하나로 돈 얼마나 벌었을지ㅋㅋㅋㄱㅋ
413,한채우임,역주행 개신개해ㅠㅠㅠㅠㅠㅠㅠ
414,Angie_l,"일 년 뒤에 또 봐, 안녕!"
415,맏내김석진,올해는 미세먼지 때문에 순위가 좀 낮았다ㅜㅜ
416,H_zy,처음 들었던 갬성이 느껴져서 좋다
417,angfox,아 자전거 타면서 듣고 싶다 ㅠ 사고날까봐 참는다
418,머가리반갈죽,연금 ㅆㅅㅌㅊ
419,탈퇴한 회원,"봄하면 벚꼿엔딩, 여수하면 여수밤바다.. 무언가를 대표하는 곡을 만들어내는 장범준은 정말 천재 아티스트다. 본인은 그런줄 몰랐겠지만ㅎ"
420,쿵푸슈렉팬더,지금 벚꽃이 휘날리며 노래 들으니 더욱 이상해 기분이 ㅋㅋㅋ
421,닉네임 없음,장범준은 15년쯤뒤에 불후의 명곡에 전설로 나오지 않을까
422,nana0125,장범준~전설
423,김믠성,전설
424,햄구마,평생 수혜자로 살겠네 범준띠^^
425,GODField,"올해는 역주행이 더디네요...
명곡임에 틀림 없죠...."
426,뮤직라잎.,이 한곡으로도 평생 먹고살듯..
427,이그니토666,매년 벗꽃피볌 들으러 온다 좀비야...
428,armanti,봄에 노래....
429,Caputre,매년 들려도 안질린다.. 봄하면 제일 먼저 생각나는 노래
430,YEYOON_,벚꽃좀비 떳다...ㄷㄷ
431,탈퇴한 회원,"벚꽃이 언제 피는지 모르면 멜론 차트 들어가서 벚꽃 엔딩이 차트에 올라와 있으면 벚꽃이 필때 다 되어가거나, 벚꽃이 폈거나"
432,겨울.바다,23위 뭐야ㅋㅋㅋㅋㅋㅋ
433,aiden0925,우리나라가 망하지 않는 이상 영원할 벚꽃 연금
434,최성진,"누군가 그랬지 훗날 봄이 없어질때즘에 우리 후손들에게 이노래를 들려주고 예전에

""봄""이란게 있었단다 라고..."
435,pastel919,말차 복귀하고 생활관 오니까 티비에서 나오는 내 전역송...
436,har4127326,나도 이곡에 하트를 누른 30만중에 하나
437,nana0125,버스커! 버스커!
438,moonon,마! 이게 봄이다
439,Amelie__,벚꽃좀비 가즈아!!!!!!
440,21세기케이팝전사,벚꽃좀비 또나왔어ㅋㅋㅋㅋㅋㅋㅋㅋ 명곡이다 정말
441,ㅎㅇㅎㅇㅎ,또다시돌아온 '그'전설의곡
442,SIK-KOMODE,"또 다시 ""그 엔딩""이..."
443,노래할꺼야..,오늘 날씨 진짜 좋은데 과제하러 버스타고 학교가는데 이노래 들으니까 봄 감성 넘쳐흐른다
444,박규영,이제 봄이네요 일기예보보다 정확한 이 노래 차트순위
445,눈사람_Uk,"진짜 이세상 벚꽃이 멸종하기 전까진
계속 꾸준하게 매년 봄 차트에 올라올듯...
100년 예상합니다"
446,갂난닫랄,죽지도 않고 또 돌아온 벚꽃엔딩~ 하지만 이 노래만한게 또 없지
447,HOBI.,노래너무좋닼ㅋㅋㄱㅋㄱㅋㄱ
448,노래할꺼야..,ㅋㅋㅋㅋㅋㅋㅋㅋ 하루하루 순위 계속 오르네
449,pchaeyeon,ㄹㅇ 봄 노래의 고인물이다
450,인주한솔,슬슬 올라온다 모를수없는노래 봄을 알리는 노래
451,RKM11,이 노래로만 50억을 벌었다는게 학계의 정설 ㅋ
452,팡군몽키,좀비 살아났다 ㅋㅋㅋㅋ
453,N지성공원,"벚꽃이 없어지지 않는이상 계속 살아날듯
10년은 더 갈 것같은뎈ㅋㅋㅋ"
454,ㅋvㅋ,"그때 그 베댓 왜 사라졌지??
여기가 아니라 지니인가?"
455,134340_0,학교에서 이 노래 틀고 애들 떼창함ㅋㅋㅋㅋㅋ그만큼 많이 알고 많이 듣는 노래!
456,효저리22,"오늘 출근 길에 벚꽃 피어있길래 들으러 왔는데
역시 사람 생각하는거 다 똑같아! 넘쥬아"
457,sweetepic,띵곡 안질린다
458,Nightori_,"봄이 왔다는걸, 말해주는 노래."
459,R__ang,"버스 창가 자리에 앉아 이 노래를 들으면
나도 모르게 웃게되는 곡"
460,맥도날드콜라,"반주만 들어도 설렘ㅋ
이곡엔 모든사람이 추억이 있을걸 ㅋ"
461,Geidhridg,이상하게 4월만 되면 듣고싶어짐 ㅋㅋㅋㅋ
462,소떡소떡.,근데 이제 이노래없는 꽃핀봄은 상상이안됨
463,박관우,봄하면 진짜 이노래밖에 안떠오른다
464,킴.SM,4월 4일 14시 20분 현재 30위ㅎㄷㄷ
465,우니배분농,다시 올라온다ㅋㅋㅋㅋㅋ
466,somine7,"""그대여 그대여 그대여""에서 성스러움을 느끼며 행복하게 봄길을 걷다가 ""봄바람 휘날리며~"" 이 부분에서 봄바람 휘몰아쳐 머리 확 뒤집어짐 ㅋ 흩날리는 내 머리카락~"
467,아랑햄,흐흐 지금 이 노래 들으면서 벚꽃 보러갑니다! 노래 자체가 봄인 노래~♥
468,잡덕_R,"진짜 매년 듣지만 안질리는 노래...
여수밤바다도 안질림...♡"
469,난너의구찌,이 자식 왜 또 나와;; 이쯤 되면 무섭다 벚꽃좀비
470,부티푸,지금 46위..;; ㄷ ㄷ
471,닉-넴,크리스마스에 머라이어 캐리가 있다면 한국의 봄에는 버스커버스커가 있다
472,Kyo몽,매년 들어도 안질려요 증말 나도 들으면서 신기한게 분명 12년도 노랜데 전혀 안촌스럽고 진짜 꽃잎 떨어질때 들으면 전주만으로도 설레는 노래가 이거에요.. 그냥 봄에 통과의례처럼 꼭 듣고 지나가야할것 같은? 그런 노래가 되어버렀어요
473,김아르미온느,"ㅋㅋㅋㅋ진짜 이 노래로 평생 먹고살아도 될듯ㅋㅋㅋ근데 봄엔 항상 이 노래를 들어야할거같음ㅠㅠㅋㅋㅋ벚꽃좀비ㅋㅋ
우리나라에 벚꽃이 없어지지 않는한
이노래는 잊혀지지않을것..ㅡ"
474,fran0416,장범준은 이걸로 돈 많이 벌 텐데 새앨범 또 내서 돈을 또 버네
475,LampFire,언제까지 올라 올지도 궁금하다 ㅋㅋ 5년뒤에도 올라올라나?
476,EasyyBelle,벚꽃연금 진짜 대박이에요 진짜 7년전 노래인데 아직도 듣는 중
477,ecokenta,"334,283"
478,Babe_,매년들어도 설레
479,hun3307,아니 무슨 연어야 매년 이맘때면 올라오네
480,Richgirlstar,슬슬 살아나는 벛꽃좀비
481,홍요셉,다시 시작된 벛꽃 연금
482,일리네어.,"333,940 ღ'ᴗ'ღ"
483,김배호,진짜 너무좋아 힐링된다~^^
484,흔들록바,아파트 단지내에 벚꽃 엄청 피어있는데 그냥 딱 듣고싶더라
485,밍석사랑해,이 맘때쯤이면 차트인 했겠지 하고 들어왔는데 역시나 ㅋㅋㅋ 근데 진짜 봄마다 듣는데 안질린다 역시 띵곡!!
486,매력적인KEI,벚꽃좀비32위 실화냐?
487,G-DRAGONx권지용,지긋지긋하다
488,Outpost,차트에 있을까 궁금해서 봤는데 역시나 있네요. 역시 사람들 생각은 다 똑같은듯ㅋㅋ 이제는 장르를 장범준이라고 따로 만들어도 되지않나 할 정도ㅋㅋㅋㅋ
489,kse7897,"역시 벚꽃연금~ ㄷㄷㄷ
이번 주 중에 10위권 안에 들어올 듯..."
490,reagerg,이제 슬슬 올라 올때가 됬는데 생각하고 찾아보니 벌써 31위네요 곧 메인에 보이겠어요
491,joanna94,매년 들어도 설레고 좋은 노래 ㅎㅎ
492,Junyoung25,벚꽃연금 엄청 나겠네...매년 이러니 무시무시하다....7년전 노래가 아직 차트 상위권에 인하니
493,아이유참좋다ㅎ,이번에 장범준이 장범준이기면 대박이겠다 저번년에도 6위인가까지 갔던거 같은데....
494,MayD,부산지역 벚꽃입니다!
495,athanasia,근데 이노래 최고순위 7위....
496,건수녕햄찌,역시 봄하면 벚꽃엔딩이지
497,iokop,어김없이 또 올라오는구나ㅋㅋㅋ
498,닉네임정하기가젤어렵다,지금 25위.... ㄷ ㄷ
499,방랑늑대25,진주지역 벚꽃 인증입니다!!
500,유갤럭시,아니 왜 매년 들어도 좋음?
501,seeusoon,"지역별 벚꽃인증 해야죠~~ 대구벚꽃 만개했어요~
사랑하는 사람과 둘이 손잡고 거리를 걷길.."
502,파이78,"가사를 제대로 읽어보니 참 좋네요~ ""벚꽃잎이 울려퍼진다""는 시적 표현^^ ""바람불면 울렁이는 기분탓에 나도 모르게 그대여 니 모습이 자꾸 겹쳐"" 이런 표현도 너무 좋고... 결론은 장범준은 천재인가..."
503,예--r,봄이 왔구나.....
504,HuUuU,빨리 벚꽃 폈음좋겠지만 벚꽃피면 항상 시험코앞 기간 .....
505,foreverone12,벗꽃엔딩 네버 엔딩
506,MuS1C,장봄준
507,포스트맬론,아 장범준 봄민요 또 거리에 주구장창 나오겠네
508,난포90,치고 올라가는거 보고 싶은데 갑자기 비가 오네
509,고말년병장,벚태식이 돌아왔구나
510,cjdaud456,너무좋다
511,Carpe_diem__,올해도 어김없이 리스트에 추가♥
512,송순란여사님,봄되면 듣고싶어지는 ㅎㅎ
513,민경훈,봄이 오는구만
514,어머나이게이뭐람,크 역시 벚꽃좀비
515,찐따사용하고있는놈누구야,조타ㅎ
516,즈모니jay,슬슬..
517,김정욱,벌써 31위네 무섭다ㄷㄷ
518,탈퇴한 회원,슬그머니올라온다1위가즈아
519,Sec__,진짜 이런 분위기 이런 멜로디를 가진 노래가 나온게 신기하다.. 봄과 어쩜 이리 잘맞는지
520,Enifyy,올해도 차트에!
521,Like우찌,벚꽃연금
522,나욘짱아,벜벜은.. 지금 웃고있다
523,감귤띵띵,차트 34위네요! 벚꽃 보러 가자아
524,L아이리스L,이노래만큼 봄에 잘 어울리는 노래가 없는듯
525,Kanu..,"331,669 +++++"
526,acoustic_,드디어 돌아왔다 벚꽃좀비의 계절
527,분홍빛보라구름,예뻐 ㅎㅎ
528,이래도그냥지나갈꼬야,와 진짜 대단하다 ㄷㄷㄷ
529,와땅땅땅,그래도 봄에는 이만한게 없죠
530,잡덕_R,"순위 오르는거 엄청 신기하네요ㅋㅋㅋ
더 올라가자!!"
531,Meaning-,영 차
532,탈퇴한 회원,신기해신기해
533,꾸버만두,부산은 만개했어요 이 노래 들으며 벚꽃터널 걸으면 행복❣
534,malu728,밑에지방은 벌써 다 만개
535,Lilstein,좀비 엔딩 또 차트인 했네 대박이다
536,홍민호,슬슬 온다
537,박_새로이_,울산인데 너무 이쁘게 피었어요~~
538,매지컬_빠따_소유자,온다...꽉 잡아라....온다..
539,starry.starry,"오늘 유희열의 스케치북 방송 이후
순위 급상승 예상"
540,다흰이.,봄되면 생각나는 좀비곡
541,pwerou,와 32위 소름돋는다
542,이이이메렁,매년 이맘때쯤 듣는데 왜 안질리는건데 ㅋㅋㅋㅋㅋㅋㅋ
543,ghchoi0190,벚태식이 돌아왔구나
544,현디루,"장범준 당신은 대체,,,
곡을 만든 건지 좀비를 만든 건지,,,,"
545,thgink9,이상하네...이 노래 최고 순위가 7위였다니... 그럴리가... 1위일줄 알았는데...
546,필끼냠,역시 벚꽃좀비...
547,527jh,"작년 봄에는 이 노래 들으며 마음고생 많이 하고 암울하던 고 3 생활 달랬는데..이젠 대학 들어와서 좋은 사람 많이 만나고 행복하게 지내고 있네요 매년 이 노래를 들으면 작년 이 맘때 그 추억이 생각나 미묘해집니다. 지금쯤 이 노래를 듣고 있을 수험생, 대학생뿐만 아니라 모든 분들 행복한 2019년 되셨음 좋겠어요 화이팅"
548,개?민,매년 같은 노랜데 왜 또 좋고 난리
549,whdgus1607,벚꽃좀비 또올라왔네... ㅋㅋ
550,ㅃㅃㅋ,와....엄청나 역시..
551,이것만10년,추워오늘
552,chekd502,올 봄도 듣는다
553,개똥군2,촘비ㄷㄷ
554,시원한유자차,솔직히 이쯤되면 이곡 하나만있으면 먹고살수 있지 않을까?
555,ㅡ,이정도면 슈트라우스도 봄마다 관짝 열고 왈츠 추고 갈 듯;
556,laiob,요즘은 봄바람같이 산들산들한 노래가 많아졌지만 그럼에도 이 노래만이 줄 수 있는 느낌은 여전하다. 각자 가지고 있는 201×년의 봄이 어떤 색이었는지. 그렇게 노래가 당신의 봄을 품고 있는 건 아닌지.
557,all_rounder,벌써 벚꽃핀곳 있나보다 순위올라오네 ㅋㅋㅋ
558,Youngsuu_,"듣는 사람 모두 그렇겠지만
이 노래를 처음듣던
모든게 서툴러서 오히려 설레던 스무살의 나는
어느새 이십대 후반이 되어 가고있다"
559,quichote,과거의 장범준과 지금의 장범준의 승부
560,Dok2_1179,이 노래 안 좋아하는 사람이 있을까
561,weapony,"벚꽃좀비의 개화일은 서울 4월 2일, 인천 4월 3일, 부산 3월 25일로 예상됩니다."
562,(기도하는부처님),와 올라가는거 신기하네 ㄷㄷ
563,위시다크샤인,지금 37위 ㅋㅋㅋ 얼마까지올라갈까
564,9cas10,내가 환갑 칠순되도 이노래는 계속 챠트에 올라올듯 싶음
565,jsm3604,"12,13,14,15,16 5년연속 연도별TOP100에 들어 감ㄷㄷ"
566,김_은우,"벚꽃연금
벚꽃좀비
네버엔딩"
567,smiiiiiii,40위 실화냨ㅋㅋㅋㅋㅋ 벚꽃 폈나보네
568,김현식,하 장범준 배알 ♩♪꼴리네
569,케에빈,봄이니까 ㅎㅎ
570,qhdi00,매년 들어도 좋다ㅜㅜㅜ
571,juwoncozyboy,군항제 얼마 안남았으니까 연금도 얼마 안남았네
572,공중님이다,"그때그 미세먼지가없던,하늘이 뚜렸했던,다들 순수했던 그시절 그봄과 그때의 그감성의봄을 노래로 표현할수있는건 벛꽃엔딩 뿐이기에 이맘때쯤 그때감성을 찾아보려 듣는데 역시나 좋다"
573,바그지훈남,벚꽃볼 여자만 있으면 딱 좋을텐데 ㅎㅎㅎㅎ 주르륵
574,찬찬0615,어떻게 이런 노래가 최고순위가 7위냐
575,Fuzon,벚꽃좀비가 또.... 7년째 백신개발 아무도 못함 ㅋㅋㅋㅋㅋ
576,wweals,74위다 더 떡상하자!!
577,그나0919,20살때 처음들었는데 그때보다 지금이 더 좋다ㅎㅎ들을 수록 좋은 노래~
578,지려요,봄과 함께 같이 따라오는 노래!
579,us1133,벚꽃오셨다 길터드려라
580,kym67420,슬슬 올라오기 시작했군. 꽃이 필 때 쯤이면 극상하겠지!
581,큐베큐베,슬슬 날씨 따뜻해지는데 스믈스믈 올라오겟거니 해서 봤더니 또 왔네
582,뭘해야안겹치냐,매년 들어도 좋다♡
583,AWESON7,실실 쥐도새도 모르게 순위권 진입해버리제~
584,최밤규하트,장봄준 들으러왓다요
585,givemepraise,길터놔라 장봄준님 행차하신다
586,최연승.,스멀스멀...
587,윾리둥절,올해도 어김없이 2~3월 연례행사 하는군
588,athanasia,스멀스멀
589,캡비,와 초5때 이 노래 들은 게 아직도 생생한디 지금 독서실에서 수능공부하고있네 ♩♪탱ㅠㅠ 흑흑 수능 올1 나오게 해주세요ㅠㅠㅠ
590,ecnacavecnacav,버스커 버스커는 앨범 안 내도 이 곡 때문에 일상생활 쌉가능
591,충국으리,쭉쭉 올라가자
592,MAN0,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ진짴ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 매년 생각나는노래
593,댕미,올라...온다.....
594,awwojg,진짜 1년에 한번울리는 봄알람같다ㅋㅋㅋ
595,iiii_l,ㄹㅇ 연금곡이다
596,송채이,ㄹㅇ 벚꽃좀비 아니냐 ㅋㅋㅋ
597,Camarero,봄이여 오라
598,유주하_,봄오는 증거다 즈말로 오늘날씨 개좋♥♥
599,9cas10,지금 현재 39위
600,여우비may,장범준 짱
601,magic__,어서와 1년만이지?
602,tnnd,또 스멀스멀올라오네
603,Prayformercy,ㄹㅇ벚꽃좀비 51위..
604,연재,2012년에 나온 노래라고??ㅋㅋㅋㅋㅋ7년째 차트 인이네 와...
605,앚엑,벚꽃좀비 부활하신다ㄷ
606,탈퇴한 회원,오늘도 같이 걷게되네요 이 거리를
607,꽃.길.따라,안녕 또 보네
608,갓임,진짜 오늘 같은 날씨가 쭉 이어졌으면...
609,형준,어떤 노래를 들으면 그 노래를 처음 듣고 따라부르던 그 시절이 생각나는 그런게 있나보다
610,다슬기슬기다슬기,와.... 진짜 스물스물 올라오더니 차트 중간 왔네여 ㅎㅎ 더올라가자~~
611,고맙구나,왜 눈물이 나냐..ㅜㅜ
612,Min.72,와 ㅋ 46등.. 진짜 봄이네
613,Shfur.,"장봄준님의 봄캐롤이 스물스물 올라 오는걸 보니 봄이 오는구나,,,"
614,unknown3637,63등 와 진짜 봄왔나보다
615,옆태미녀,봄 시작 ~~
616,유정원,차트 순위 85위 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 역시 벚꽃좀비 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
617,곰옴탱이,90위네 ㅋㅋㅋㅋ
618,dszzfda,어김없이.
619,unknown3637,90등 차트진입ㄷㄷ 올해도...
620,욜래방구,온다 봄캐롤
621,GF_럽친,"지금보니까 2012년 연간 3위부터 시작해서
2015년까지 장장 4년동안 연간차트인을 했네...
진짜 미쳤다 벚꽃좀비"
622,E.Soooo,봄 좀비가 슬슬 올라오고 있군
623,안녀오옹,데일리 감상자수 11만 ㄷㄷ
624,탈퇴한 회원,"지금 눈덩이 휘날리는데
벚꽃엔딩은 무슨~~~~~
빨리 노래 내려라 !!!!!!!"
625,BestII,여수밤바다랑 봄날이나 들어야겠다ㅋㅋㅋ
626,이래도그냥지나갈꼬야,벚꽃 연금이 그 뜻이구나
627,아이팟,봄날 코코밥따위의 노래들이 이 노래 좋아요수를 넘은게 어이없기만 하다.
628,웅엥옹0.0,봄되니까 슬슬 생각나서 들으러 왔어영ㅎㅎ
629,앤킴79,"역시 봄을 제대로 느끼게 해주는 노래임.
아무리 봄노래 새로 나와도 역시 벚꽃 엔딩이 최고임..."
630,카브렐라,봄이 없어지면 후손에게 들려준다는 베댓이 어디간거죠?
631,정.영.은,"봄바람 휘날릘 뛔에에에에~
난 여전히 남친없고오오오~"
632,SERENDIPITY88,슬슬 들어볼까나~~
633,hell4301,진짜 오진다
634,(기도하는부처님),이 노래는 매년 올라 오네 ㄷㄷ
635,이승원,와 진짜 ㄷㄷㄷㄷㄷ
636,민은호,교과서에 등재되야함
637,iu사랑바라기,계속 올라오네 ㅋㅋㅋㅋㅋㅋ
638,서울시가자,57위네..ㄷㄷ
639,ceijs08,일간 97위!!!
640,꽃처럼_피어나,벚꽃 연금
641,탈퇴한 회원,으 오글오글....
642,9cas10,"이노래는 나중에 고려가요처럼 몇백천년이 흘러도 살아남아서 대학입시에도 나오고 막 그럴거 같다
얄리얄라셩처럼 우오워워워워도 일종의 후렴구로 학습되고..."
643,oossjj,결국엔 다시 올라오는구나 귀호강하겠네
644,구취집취이참과기비,벚태식이.. 돌아왔구나..?
645,ljyssw,올립시다ㅋㅋ
646,Everygenre,봄이다!
