,melon_id,댓글
73,흰댕이._.,1집 진짜 레전드... 하나하나가 명곡
74,viento-_-,지금 들어도 마음이 턱 턱 막힌다
75,Busunker,1집은 정말..... 말할필요가 없는 명반....
76,콩쥬콩쥬콩,진짜너무조아여ㅜㅜ
77,천사채와인2,진짜개좋네 어케이럴수잇지
78,아바라맛집을찾아라,조금만 더 그대를 참아보려 했지만...
79,왕찬,100위권에도 못든게 너무 아쉽다.. 노래가 사람의 감정을 바꿀수 있다는 것을 뼈저러게 느끼게 해준 명곡
80,긴마마마마,도입부의 웅장함이 버스커의 강림을 알리는듯해서 설레요
81,아싸흔들어재껴,"와.... 오랜만에 듣는데
정말 좋네 미쳤다 이곡은"
82,메로나굳,베이스 소리 지린다..
83,coloronme1,버스커 버스커 노래는 다 명곡이네요~
84,GUITARMAN-RISK,훅 부분 너무좋다
85,Jwk99,20살과 함께한 벚꽃엔딩과 첫사랑은 잊을 수가 없다..신입생으로 돌아가고 싶다
86,Festina_Lente,찬란한 슬픔.
87,내고향은_엔CTiy,아 싯발 노래 좋아서 눈물나
88,SayGoodNight,가사 ㅅ발 눈물난다
89,SEWOON,최고 .
90,데카르트987,전주만 들어도 웃음이 난다.. 가사며 멜로디며 악기며 완벽ㅠㅠㅠㅠ
91,탈퇴한 회원,초등학교때 맨날 이 노래 들으면서 꽃피는 길을 지나며 학교 갔었는데 ㅠㅠ 이제는 고3.. 초등학교때 2년 동안 좋아 했던 그 아이가 떠오른다 ㅠㅠㅠ 언젠가 그때처럼 순수한 사랑을 할 수 있겠지..!!
92,대추나무사람걸렸네,사겼던 남자애들ㅇㅣ 다 즇아하던 노래..
93,SEWOON,"또 들으러 왔다,,,,, 너무 좋아"
94,134340Pluto,"나는 어떡하죠
아직 서툰데"
95,뚜미또요미,아직까진 내인생 최고곡 ㅠㅠ
96,UNDERGROUND,"봄이 오면 찾아오는 노래,,,"
97,닉-넴,이노래 처음 들었을때의 느낌은 아직도 잊을수가 없어여 뚜룽 뚜두둥 하는순간부터 게임끝 진짜루
98,니킥킥킥,갓띵곡 설레쟈나
99,됴야됴아해,전주에 가슴이 쿵쿵거림 ㅠㅠㅠ 띵곡
