,user,comments,processed_comment
85,뮤직이즈마이라이프,"🌸봄 되니까.. 마음 한 켠이 또 싱숭생숭..아마도 2012년 봄부터 이 노래를 알게되어 듣고, 해마다 다른 해의 봄의 기억들이 오버랩되면서 날 괴롭히기도하고 설레이게한다..","['봄', '되다', '마음', '하다', '켜다', '또', '싱숭생숭', '봄', '이', '노래', '알', '되어다', '듣다', '다른', '해', '봄', '기억', '오버', '랩', '되다', '날', '괴롭히다', '기도', '설레다', '하다']"
86,akd***,내가 1004번째 댓글이네 :) 제발 여자친구 생기게 해주세요!! 천사님...,"['내', '댓글', '제발', '여자친구', '생기', '해주다', '천사']"
87,션딩,올해 벚꽃은 코로나와 함께라니.... 🥺🥺🥺🥺🌸,"['올해', '벚꽃', '코로나', '하다']"
88,ZdY,이 노래는 매년 들어도 설렌다 간질간질,"['이', '노래', '매년', '들다', '설레다']"
89,강영준,"매해 4월 Cherry Blossom 기간에 불리우는 한국의 전통 민요이며26년째 12월을 책임지는머라이어캐리의 ""All I Want For Christmas Is You""와쌍벽을 이루는 곡이다Ps8월 장마기간만 되면 나오는 신흥민요""비도 오고 그래서"" 도 존재하니 참고하실것","['기간', '불리다', '한국', '전통', '민요', '책임지다', '머라이어캐리', '오다', '쌍벽', '이루다', '곡', '장마', '기간', '되다', '나오다', '신흥', '민요', '비도', '오다', '도', '존재', '하다', '참고', '하다']"
90,s1#,항상 이 맘때쯤 듣고 싶어지는 곡...특히 벚꽃나무 아래를 차타고 지나갈때 차 타고 들으면..더 좋은 ㅎ,"['항상', '이', '맘때', '듣다', '싶다', '곡', '벚꽃', '나무', '아래', '차', '타고', '지나가다', '때', '차', '타고', '들다', '더', '좋다']"
91,jun***,1001번째 댓글이다!!! 코로나로 힘들지만 벚꽃엔딩으로 봄날의 따뜻함을 느껴봅니다!!!,"['댓글', '코로나', '힘들다', '벚꽃', '엔딩', '봄날', '따뜻하다', '느끼다', '보다']"
92,wsg***,이제 봄의좀비가 올라올텐데..코로나..,"['이제', '봄', '좀비', '올라오다', '코로나']"
93,ㅇㅁㅇ,매년 듣다보니 매년 봄의 추억들이 겹쳐 느껴져서 좋아요 ㅠㅠ,"['매년', '듣다', '보다', '매년', '봄', '추억', '겹', '치다', '느껴지다', '좋다']"
94,jun***,아직 3월초인데 벌써 생각나서 찾아옴,"['벌써', '생각나다', '찾아오다']"
