,user,comments,processed_comment
237,yyoh11,바람 불면 울렁이는 기분 탓에 나도 모르게 바람 불면 저편에서 그대여 니 모습이 자꾸 겹쳐오 또 울렁이는 기분 탓에 나도 모르게바람 불면 저편에서 그대여 니 모습이 자꾸 겹쳐,"['바람', '불면', '울렁이다', '기분', '탓', '나다', '모르다', '바람', '불면', '저편', '그대', '니', '모습', '자꾸', '겹', '치다', '또', '울렁이다', '기분', '탓', '나다', '모르다', '바람', '불면', '저편', '그대', '니', '모습', '자꾸', '겹', '치다']"
238,bbosoon1,나 그대 손잡고 꼭 손잡고 오래도록 걷고싶어...,"['나', '그대', '손잡다', '꼭', '손잡다', '걷다']"
239,wan4444,버스커 버스커는 벚꽃엔딩으로 엔딩이다. 이 이상의 임펙트를 넘으려면 스스로도 엄청 부담될 듯.,"['버스커', '버스커', '벚꽃', '엔딩', '엔딩', '이', '이상', '임펙트', '넘다', '스스로', '부담', '되다', '듯']"
240,sjj0711,좋다,['좋다']
241,Induky,요즘 벚꽃 시즌 오니 생각나서 듣게 되네 ㅋㅋㅋㅋㅋ,"['요즘', '벚꽃', '시즌', '오니', '생각나다', '듣다', '되다']"
242,샤밍밍,다시 들어도 좋다..............................,"['다시', '들다', '좋다']"
243,znzpzh,버스커버스커 진짜 쩌넹 ㅋㅋㅋ,"['버스커버스커', '진짜', '쩌넹']"
244,jyh3431,이런게 명곡이지....도돌이표,"['이렇다', '명곡', '도돌이표']"
245,-_-erosjin,좋아요굳굳,"['좋다', '굳다', '굳다']"
246,zimirerl,헐퀴..역주행...이런 현상은 첨 봤네..,"['헐퀴', '역주행', '이렇다', '현상', '보다']"
247,yuli1740,봄이 오니까..그냥 듣고싶어지더라.가사가 예뻐!ㅎㅎ,"['봄', '오', '그냥', '듣다', '가사', '예쁘다']"
248,egukek,레전드,['레전드']
249,pike2020,1년 전 노래인데도 불구하고 봄이 다가오니 벅스탑백에 올라오는 이 놀라움.,"['전', '노랗다', '불구', '봄', '다가오다', '벅스', '탑', '올라오다', '이', '놀라다', '움']"
250,memor***,이 댓글이 2013년도꺼네요. ㅎㅎ지금은 2017년인데 날씨 풀려가니 지금도 올라오는 중입니다.ㅋㅋㅋㅋ,"['이', '댓글', '지금', '날씨', '풀다', '지금', '올라오다', '중', '이다']"
251,kbrlee,지금도 올라오네요^^,"['지금', '올라오다']"
252,e-suki,2020년인 지금도 차트인 했습니다^^,"['지금', '차트', '하다']"
253,plastici,슬슬 벚꽃날릴시기다가오니 또 생각나네...,"['슬슬', '벚꽃', '날리다', '다가오다', '또', '생각나다']"
254,kissme77002,봄바람이외날리며 그때부터 노래가 좋아지네욤,"['봄바람', '이외', '날리다', '그때', '노래', '좋아지다', '욤']"
255,kissme77002,우리반에서이노래짱 ㅋㅋ,"['우리', '반', '노래']"
256,channy9866,아 노래 너무 조아요&gt;&lt;,"['노래', '좋다']"
257,jestert,마지막 그대여 그대여 그대여 그대여 그대여 하기전에 '오 예'가 빠졌네요 ㅎㅎ,"['마지막', '그대', '그대', '그대', '그대', '그대', '하다', '오', '예', '가다', '빠지다']"
258,shinwin82,벗꽃 다지고...여름이 되었어도..노래는 왜 들리는거냥?,"['벗꽃', '다지', '여름', '되어다', '노래', '왜', '들리다']"
