,youtube_id,comment,like_num
60,천유정,너무너무재민써서맨날바요♥♥♥♥♥♥♥♥,1개
61,AndreAsian,Jiyoon hope your doing well these days.,2개
62,MilcaRomero,Everyone is talking about how cute this is and I'm over here laughing at the fact that she just shot him 😂,13개
63,푸풀룻빳팟뿅,그 어떤노래를 너무 많이 들으면 소름 돋는거 있잖아 난 나만봄 도입부만 들으면 소름돋으면서 듣다보면 몸이 동글동글 해지는 느낌이랄까 ?,67개
64,볼사덕러볼리,"썸네일에서 1차 심쿵! 영상에서 2차 심쿵💕 
가사에서 3차 심쿵😍 내 인생에 3대 심쿵 볼사😘",1개
65,김유나,"????한국인 어디 있지??
한국인의 힘을 모아서....
나와랏!!!!!!!!",1개
66,RantiAprilina,my favorite song ❤️💖,6개
67,혜듀,넘 유명해졌다.. 영어 댓글 사이로 한글 댓글 찾기..,13개
68,BeaBuiza,I'm here after I heard the news. Jiyoon~ TT,2개
69,김현태,중2 때 롯데리아에서 우주를 줄게 듣고 볼사에 빠졌는데 해체라니ㅠㅠ 안지영 혼자서라도 이런 러블리한 노래 잘 만들어줬으면 좋겠다ㅜ,6개
70,LIZ,I miss you Jiyoon :(,2개
71,채원석,"아니 와 근데ㅋㅋ
원더케이 구독자가 2020만명이야ㅋㅋ
여러분 2021년되면 원더케이 구독자 2021만명 될수있게 구독해주세ㅇ..ㅛ

수정'*'
왖 근데 벌써 원더케이 구독자 2050만명 넘음..ㄷㄷ",5개
72,1385bsj,화살 사라지니까 다시 달려가서 냅다 꽂아버리네ㅋㅋㅋㅋㅋㅋㅋ,614개
73,김상추,"예전에 뮤비 봤을땐 귀엽네 하고 끝났었는데, 지금 다시 보니 마지막에 기타 연주가 그리도 아련하게 들리더라.",5개
74,DewsDays이슬이의일상,벚꽃은 중간고사를 알려주는 존재🌸,1개
75,레고스톱모션준준우,더 예뻐졋다...지영이누나...앞으로도 계속 좋은곡 내줘요.,1개
76,아이나,I really like this kind of fresh and soft concept in kpop😍,2개
77,김미르,한국 가수곡에서 한글로 된 댓글 보는게 왜 이리 어려운지,318개
78,미술책,난 딱 이곡 나왔던 때로 다시 돌아가보고싶긴 하다.,10개
79,키어런티어니,천사 ..,3개
80,team피크타임,"솔직히 아직도 들어도 좋아 ^^
ㅇㅈ 하면 좋아요 ㅋㅋ",3개
81,전채원,"이노래 추억..첫 짝사랑 하고 가사처럼 설레서 자주 듣던 노랜데..지금 걔랑 어떻게 됬는지 모르겠다..다른반되고 ㅋㅋ
저번 봄 정말 좋았다 친구 갈등도 많았지만",29개
82,hongjo,"The best duo in whole kpop history..( i love AKMU also)

(Thnx for 2.7K likes)",27개
83,뀨,곧 들을 노래😊 벚꽃이나 보러갈수는 있을런지ㅠㅠ 코로나 다뒤져ㅠㅠ,101개
84,CoraLeanne,...This Was The Sound Mina And Jihyo Played In TikTok I Really Want To Find It...And It Stumbled Upon My Recommended!,30개
85,GobindaLaubongdisa,I luv jiyoung's voice,2개
86,이다인,노래  좋아요  💗💗💗💗💗,1개
87,ChewyYoda,"I know y'all love sleeping, but make an exception to BOLBBALGAN4 😣❤",17개
