,youtube_id,comment,like_num
0,Cromartie,"My Korean friend/language exchange partner introduced me to this song and man I'm so glad she did, beautifully serene and joyful - fits the warmth of the season, gonna be my Spring anthem every year 좋아 😁",327개
1,ihP,"2020년 출첵 (오는 사람 있긴한가...?)
⬇️",141개
2,SyJ,여기 지금도 듣는 사람 있나??,209개
3,잉따,"10cm: 봄이 그렇게 도 좋냐 멍청아?

장범준: ㅇㅇ 년금날이든

10cm: 사실 나도",60개
4,KoreAmo,He kinda looks like Eric Nam,129개
5,ssibalsekki,"저기 야구부중에 저 있어요 ㅋㅋ 
뮤비 찍을때 21살이였는데 지금은 29살..
내년에 30살..  20대 초반이 엊그제 같은데 시간이 참.. 빠르네요..",158개
6,레드율렌지,"지구 온난화로 봄이 사라진다면, 이 노래가 봄이 무엇인지 설명을 해줄 것이다.",1개
7,Blare,Came here because of MelOn #1 Song of the Decade (2010s). Congratulations!!!,89개
8,hyunJung,내년에는 우리 모두 마스크 벗고 활짝 웃으며 벚꽃 핀 나무들 사이에서 만나요. 건강하세요. 힘내세요...,488개
9,이태영,"벚꽃은 오고, 코로나는 갔으면..",37개
10,JennylynSMedina,Came back here knowing that it's the no. 1 song for MelOn Song of the Decade (2010s). It's so good!,83개
11,SupremeGirl,WHO'S HERE BECAUSE OF MELON MAKES THEM #1ST IN BEST SONG OF DECADE 💪💪💪,7개
12,간장게장,사실상 애국가 아니냐,841개
13,박정빈,"델타, 델타 여기는 12월 22일 2일 뒤면 크리스마스다 여긴 아직 코로나가 있다.
3,4월에 한국 백신 투여한다는데 맞나요?
그리고 그때는 마스크 벗고 벚꽃축제 갈수있나요?",10개
14,시원,장범준의 지갑이 두둑해지는 시즌이 돌아온다,21개
15,HiBA,I wish to listen to this song in spring at korea someday,415개
16,최민준,"코로나 휘날리며~
흩날리는 미세먼지~
이 거리를 나 혼자 걸어요~",124개
17,Kilikim,"지금 고 3들 다같이 좋은 대학 붙자



흐에!!!",172개
18,Momo37a,"I'm here because in fools mention this song and I'm very curious...
 I like :'D",227개
19,다탑,곧 있으면 많이 들으러 올꺼야,21개
20,김현태,우리나라사람들이 들은 벚꽃엔딩횟수를 이어붙히면 하도많이 들어서 고려시대까지 간다고함ㅋㅋㅋㅋㅋㅋㅋㅋㅋ,94개
