,youtube_id,comment,like_num
44,ChriseliaChandra,I heard this song when Kim jung hyun sing this song in Crash landing on you. So nice😍,50개
45,김YC,"100년 뒤에 교과서에 실리겠지
한국 고유의 봄의 정서를 많은 국민들에게 공감시킨 노래였다고",27개
46,lisajungkookshipper,"I am torn between this and spring day by bts. Oh well, I can play both songs hahaha",6개
47,조민석,뮤비 웃긴다 애초에 강시라가 아니라 뒤에있던 벚꽃나무 보러 가는거였어 ㅋㅋㅋㅋ,30개
48,하베,0:23 당신이 원하던 겨울방학 증가는 현실이 되었습니다,28개
49,yoonjileftbooty,Is there anyone like who still to this song everyday ? Only me?okay.,15개
50,SallyKim,나중에 응답하라 시리즈 만들면 벚꽃 엔딩 무조건 나올듯,24개
51,PranaviKilaru,Such a beautiful song 😍,2개
52,MamuRaDaiKi,Congratulations for #1 in Melon Top 100 Songs of past decade (2010-19),18개
53,DS,그 계절이 되면 거짓말같이 꾸준히 예토전생하는 곡. 거의 해치웠나?급 생존플래그,2개
54,하람,조회수는 개많은데 외국인이 없는 유일한 뮤비 한국인들이 다 장악해버림,9개
55,헬창쇠질만능주의,"이노래 댓글 레전드 있었는데
언젠가 봄이라는 계절이 사라지면 이노래를 들려주면서 이게 봄이라고..",27개
56,babymika,Congrats!,3개
57,edenmanzu,"Los conocí por el manhwa ""Fools"", y me gusto me suscribo y doy like",11개
58,GabrielaMoreno,Hermosa canción 🥺 hermosas voces ♥️,0개
59,AmaranthaMartins,I just shed tears at the ending of this music video..... I shouldn’t be watching this while I’m on my period 😭😭,1개
60,사란,"2020년에 보는 사람  
👇
👇",31개
61,einalovely,i've been searching for this song for a long time when i first time heard it on a show but i cant read the title..thank god bts sang this on bts run and i finally knew the title,1개
62,Evul,"요즘엔 정말 벚꽃이 ""엔딩""되었다는 기분이 듭니다.
2019년에는 미세먼지가 최고치를 찍어서 밖에 나가질 못했고
2020년에는 코로나 바이러스로 인해 벚꽃한번 보지 못하고 끝난 것 같네요.
내년에는 벚꽃이 해피엔딩이었으면 합니다. :)",70개
63,게으른동인30일동안뭐라도하자,가을에도 벚꽃엔딩 생각나서 들으러왔는데 정상맞죠?,8개
64,AltayraSoebrata,Ah reminds me of when I used to live there for my studies always a hit of nostalgic feels,1개
65,KhushbooKaushik,Came here because I heard “cherry blossoms” webtoon by Subong Park is inspired from this.. beautiful🎶,0개
66,mrslowflow,this song will always be the zombie of spring songs. 💪,1개
67,starshapedgummy,"this is like mariah carey's ""all i want for christmas is you"" that appears every christmas but instead of christmas, this song rises in the charts every spring in korea ^^",27개
68,WaadAlbasher,"I really love this , I was listening to it when I was 8",1개
69,홍시맛,"정말 이노래 제목처럼 언젠가 봄의 마지막날에 '벚꽃 엔딩'이 되어버릴까 무섭다 '그게 마지막 벚꽃잎인줄 모르고 그 순간을 무심히 지나쳐 버렸다' 라는 제목을 일기장에 적을날이 올지도 모르니  모두가 이노래들으면서 벚꽃나무아래 거닐며 웃던 봄의 
끝자락이 오지않도록  지구를 지켜요",70개
70,jincloony,돌아와 버스커 버스커~ 범준이 혼자는 버스커버스커가 아니야~ 세명이 함께일때 최고의 모습이였어... 이노래 들으니 눈물이 날려고 하네 ㅠ ㅠ,3개
71,시공왕자,어처피 나에게는 의미없는 봄이지만 올해는 핑계가 생겨서 좋다 ㅋㅋ ㅜㅜ,15개
72,EungaangLee,"This song is the Korean ""Fairytale of Newyork"", except it's a spring song. Will be sung for generations.",15개
73,예림,우리아빠 최애곡이었는데 ..벌써 7년이 지났네 ..,11개
74,시바견,언젠가 봄이라는 계절이 사라졌을때 후손들에게 봄이 어떤느낌인지 알려줄수있는노래,21개
75,BentleyNoona,"Watching this on the last day of 2020 because I’ve been missing old kpop songs

Edit: After reading the comments, I just now know that this is Melon #1 Song of the decade. This song truly never gets old.",0개
76,PaulRoman,Does this song still re enter the Korean billboard during springtime?,1개
77,하태욱,"고등학생으로서 맞이하는 마지막 봄이네 

내년엔 웃고있기를",17개
78,익명이,어우.. 나까지 기분 좋아지네..><,2개
79,DomenicaAlexandraPincayVillamar,"I love this song, it´s so fantastic. The years pass, and I keep liking it.",0개
80,l,2:00 나태지옥,14개
81,missedn,thanks BTS for introducing me this song,2개
82,NavFly,here we go again !,0개
83,SOM136,I'm here bc the comparison between BTS spring day and this ^^,56개
84,권정현,이제 곧 들을건데 미리 듣죠,15개
85,RaphanusSativus,"I'm still wondering why no one would talk about the girl,Kang Sira from PD101😂😂",0개
86,BaRougui,I'm here listening this song after hearing it in 1n  2d💜,0개
87,TheBubblesish,OMG I ACKNOWLEDGE THIS SONG!!,0개
88,SooAnuya,"Came here cause hearing dongheon sing this ,, yeah it's good🤭",0개
89,MEIZEYRA,"I'm here for 1st time on 2020, after watched 1 video posted on 2016.  Then I'm soo shock that this song was released 8 years ago on 2012.. hahahahah...",0개
90,남현우,🌸벚꽃 이모티콘 검색해도 나오네,9개
91,박현호,2021년 출첵,2개
92,TriWidi,2 December 2020,1개
93,김성민,이노래 한 2050년도까지는 들을듯,16개
94,sakurakreuze,I've been looking for this....,0개
95,Joh,bruh i finally found this song again after watching knowing bros🥺🥺🥺,0개
96,CVG급발진,봄은 이미 없어진거 같다 이때 느꼈던 감정들을 다시는 못느끼고 있다,5개
97,kylegamble,The lads in Busker Busker aren’t simps 🤣🤣 trees > thots,0개
98,drsnowmon,You know its spring whem you start hearing this song in korea,780개
99,emmaemu,I CAME HERE AFTER THE MELON RESULT,1개
100,Snow18,Who's here because of FOOLS? 🤣,0개
101,류정훈,근황보고 온사람?ㅋㅋㅋㄱㅋ,3개
102,swannkim,음악계의 기상청임 존나 ㅋㅌㅋㅋㅌㅋㅋ ㅌㅌㅋㅌㅋ ㅌ ㅋ,867개
103,Samanthaaddi,This is just a masterpiece😍👌,0개
104,YEON연,2021 출첵합니다,1개
105,SUJUKillThemAll,"2020, this song still the best spring song. Fighg me",2개
106,AriPrasetyo,"I love this song,  since it was realesed when i was first year student at senior high school....",7개
107,MlanieTerrine,I saw Henry and Yoeung playing this and I knew I heard it somewhere! I like it!,0개
108,HayahMiraato,suddenly wanting the feeling of spring and went to this song ugh one of the best,0개
109,JiwooNam,YeaH H&D makes me comeback to thsi,0개
110,JezzaTranquilo,"I decided to watch this because of the manhua ""Fools""",2개
111,Ele엘,Henry and YoEun brought me here ❤,1개
112,송민혁,봄이오는건기상청보다 멜론차트가더정확해,1개
113,millarayCartes,Me encanta ♡♡♡♡,0개
