,youtube_id,comment,like_num,processed_comment
209,allicechan,"넌 한번도 그래 안된다는법이 없었지~~~~
꽃송이가 그래그래 피었네~~~",0개,"['넌', '한번', '그렇다', '안되다', '법', '없다', '꽃송이', '그래그래', '피다']"
210,흑발돼지,왜 이노래를 이제 알았을까 ㅇㅁㅇ,0개,"['왜', '노래', '이제', '알다']"
211,최준영,와!!!!,0개,['오다']
212,Math영샘,이 노래 때문에 결혼했다 ㅠㅠ,0개,"['이', '노래', '때문', '결혼', '하다']"
213,강건마,민중화가~~~,5개,['민중화']
214,김영영,18년에 온사람 손,0개,"['사람', '손']"
215,열심히살아야지,2019/12/15/일요일 에 왔다갑니다.,0개,"['일요일', '오다', '가다']"
216,복숭아하늘,노래조타♡,0개,"['노래', '타']"
217,와니와니,설랜다♥♥,0개,['설랜다']
218,정교준,밤꽃송이가~~,0개,"['밤꽃', '송이']"
219,스투디studi,버스커버스커 목소리 개조흠★,0개,"['버스커버스커', '목소리', '개조', '흠']"
220,추성훈,너무너무조아여수밤바다조아조아😍,0개,"['무조', '여수', '밤', '바다', '좋다', '좋다']"
221,jeonlucien,ㅋㅋㅋ 여기는 악플이나 부정적인 댓글이없네요. 참 기분 좋아집니다. 좋은 노래 감사,0개,"['여기다', '악플', '부정', '댓글', '없다', '차다', '기분', '좋아지다', '좋다', '노래', '감사']"
222,JalJun,노래 듣기조아용 ^^,0개,"['노래', '듣기', '용']"
223,한국인,아.. 보고싶다 돌아와줘,0개,"['보다', '돌아오다']"
224,JenniferSong,"ㅋㅋ 마이 네임이즈 송이꽃 
리얼리",23개,"['마이', '임', '이즈', '송이', '꽃', '리얼리']"
225,RohSun,이렇게대놓고꼬시면 안넘어갈수가없을듯ㅋㅋㅋ,0개,"['꼬시', '넘어가다', '없다']"
226,야오린,소속사 가없다니..,0개,"['소속사', '가다', '없다']"
227,박성민,참 좋네요,0개,"['차다', '좋다']"
228,MrDavid21,유튜브에서 요즘 핫하게 뜨는게 사과티비인듯 개쩔어요ㅎ,0개,"['유튜브', '요즘', '핫', '하다', '뜨다', '사과', '티비', '듯', '개', '쩔어요']"
229,잉잉,"2020 4월에 온사람....
개학하고 싶당",70개,"['사람', '개학', '싶다']"
230,백진우,18년에 온 사람 손,0개,"['온', '사람', '손']"
231,포모남tv,역시버스커,0개,"['역시', '버스커']"
232,FleckArthur,18년에 온 사람 손,0개,"['온', '사람', '손']"
233,곽재헌,보물섬 때문에 온사람 손,16개,"['보물섬', '때문', '사람', '손']"
234,단순하게잘살곤,좋아,0개,['좋다']
235,니얼굴,그 맥크리가 그맥크리가 그래그래 짤렸구나,0개,"['그', '맥', '크리', '맥', '크리', '그래그래', '짤렸구']"
236,김지환,아는 형님 보고 옴,0개,"['알다', '형님', '보고', '옴']"
237,호호,꽃송이가~,0개,['꽃송이']
238,WonhoSo,버스커버스커 해채됬죠?,6개,"['버스커버스커', '해채', '되다']"
239,와꾸스윙스,6학년떼 울 담임쌤.벨소리,0개,"['학년', '떼', '울', '담임', '쌤', '벨소리']"
240,머니,외계인,0개,['외계인']
241,김현서,노래좋당,0개,"['노래', '좋다']"
242,이후재,2020년에온사람 손!,0개,['손']
243,홍퍼맨,"18년에 온사람손







있을리가 없지 지금 2017년인데",7개,"['사람', '손', '있다', '리가', '없다', '지금']"
244,당근,이노래10번 더듣고있다..,0개,"['이노', '번', '더', '듣다']"
245,천정훈,박종성님 하모니카~~,0개,"['박', '종성', '하모니카']"
246,찬희송,와..바이브레이션 오진다,0개,"['오다', '바이브', '레이', '션', '오다']"
247,창호한,19년에 온 사람,3개,"['온', '사람']"
248,심슨,2019 미세먼지 2020 코로나,0개,"['미세먼지', '코로나']"
249,nayeyu,봄에 딱 어울리는 ~ 좋은노래 담아갑니다*^^* 고맙습니다~,0개,"['봄', '어울리다', '좋다', '노래', '담다', '가다', '고맙다']"
250,종이접기나라,노래 잘하시네,0개,"['노래', '하다']"
