,melon_id,댓글,processed_comment
469,Babe_,매년들어도 설레,"['매년', '어도', '설레다']"
470,hun3307,아니 무슨 연어야 매년 이맘때면 올라오네,"['아니다', '무슨', '연어', '매년', '면', '올라오다']"
471,Richgirlstar,슬슬 살아나는 벛꽃좀비,"['슬슬', '살아나다', '벛꽃', '좀비']"
472,홍요셉,다시 시작된 벛꽃 연금,"['다시', '시작', '되다', '벛꽃', '연금']"
473,김배호,진짜 너무좋아 힐링된다~^^,"['진짜', '좋다', '힐링', '되다']"
474,흔들록바,아파트 단지내에 벚꽃 엄청 피어있는데 그냥 딱 듣고싶더라,"['아파트', '달다', '벚꽃', '피다', '그냥', '듣다']"
475,밍석사랑해,이 맘때쯤이면 차트인 했겠지 하고 들어왔는데 역시나 ㅋㅋㅋ 근데 진짜 봄마다 듣는데 안질린다 역시 띵곡!!,"['이', '맘때', '이면', '차트', '하다', '하다', '들어오다', '역시', '진짜', '봄', '듣다', '안질리다', '역시', '띵곡']"
476,매력적인KEI,벚꽃좀비32위 실화냐?,"['벚꽃', '좀비', '위', '실화']"
477,G-DRAGONx권지용,지긋지긋하다,['지긋지긋하다']
478,Outpost,차트에 있을까 궁금해서 봤는데 역시나 있네요. 역시 사람들 생각은 다 똑같은듯ㅋㅋ 이제는 장르를 장범준이라고 따로 만들어도 되지않나 할 정도ㅋㅋㅋㅋ,"['차트', '있다', '궁금하다', '보다', '역시', '있다', '역시', '사람', '생각', '똑같다', '듯', '이제', '장르', '장범준', '만들다', '되다', '않다', '하다', '정도']"
479,kse7897,"역시 벚꽃연금~ ㄷㄷㄷ
이번 주 중에 10위권 안에 들어올 듯...","['역시', '벚꽃', '연금', '이번', '주', '중', '위', '안', '들어오다', '듯']"
480,reagerg,이제 슬슬 올라 올때가 됬는데 생각하고 찾아보니 벌써 31위네요 곧 메인에 보이겠어요,"['이제', '슬슬', '오르다', '때', '되다', '생각', '찾아보다', '벌써', '위', '곧', '메인', '보이다']"
481,joanna94,매년 들어도 설레고 좋은 노래 ㅎㅎ,"['매년', '들다', '설레다', '좋다', '노래']"
482,Junyoung25,벚꽃연금 엄청 나겠네...매년 이러니 무시무시하다....7년전 노래가 아직 차트 상위권에 인하니,"['벚꽃', '연금', '나다', '매년', '무시무시하다', '노래', '차트', '상위', '인하다']"
483,아이유참좋다ㅎ,이번에 장범준이 장범준이기면 대박이겠다 저번년에도 6위인가까지 갔던거 같은데....,"['이번', '장범준', '장범준', '이기', '대박', '겠다', '저번', '년', '위인', '가깝다', '가다', '같다']"
484,MayD,부산지역 벚꽃입니다!,"['부산', '지역', '벚꽃', '이다']"
485,athanasia,근데 이노래 최고순위 7위....,"['이노', '최고', '순위', '위']"
486,건수녕햄찌,역시 봄하면 벚꽃엔딩이지,"['역시', '봄', '하다', '벚꽃', '엔딩']"
487,iokop,어김없이 또 올라오는구나ㅋㅋㅋ,"['또', '올라오다']"
488,닉네임정하기가젤어렵다,지금 25위.... ㄷ ㄷ,"['지금', '위']"
489,방랑늑대25,진주지역 벚꽃 인증입니다!!,"['진주', '지역', '벚꽃', '인증', '이다']"
490,유갤럭시,아니 왜 매년 들어도 좋음?,"['아니다', '왜', '매년', '들다', '좋다']"
491,seeusoon,"지역별 벚꽃인증 해야죠~~ 대구벚꽃 만개했어요~
사랑하는 사람과 둘이 손잡고 거리를 걷길..","['지역별', '벚꽃', '인증', '하다', '대구', '벚꽃', '개', '하다', '사랑', '하다', '사람과', '둘', '손잡다', '거리', '걷다']"
492,파이78,"가사를 제대로 읽어보니 참 좋네요~ ""벚꽃잎이 울려퍼진다""는 시적 표현^^ ""바람불면 울렁이는 기분탓에 나도 모르게 그대여 니 모습이 자꾸 겹쳐"" 이런 표현도 너무 좋고... 결론은 장범준은 천재인가...","['가사', '제대로', '읽다', '보다', '차다', '좋다', '벚꽃', '잎', '울리다', '늘다', '시적', '표현', '바람', '불면', '울렁이다', '기분', '탓', '나다', '모르다', '그대', '니', '모습', '자꾸', '겹', '치다', '이렇다', '표현', '좋다', '결론', '장범준', '천재']"
